"Column1","Column2","Correlation"
"DailyClassChange1Period","DailyClassChangeRSI",0.994665861129761
"ClassChange1Period","ClassChangeRSI",0.985865890979767
"DailyConsecChange1Period","DailyConsecChangeRSI",0.980255901813507
"DailyMACD","DailyChange25Period",0.918695509433746
"MACD","Change25Period",0.917622208595276
"RSI","SlowRSI",0.914489507675171
"DailyRSI","DailySlowRSI",0.914039134979248
"Change200Period","DailyChange10Period",0.913163781166077
"Change5Period","ChangeEMA",0.892864644527435
"DailySlowRSI","DailyMACD",0.886900424957275
"DailyChange5Period","DailyChangeEMA",0.883825421333313
"DailyRSI","DailyMACD",0.873298466205597
"Change10Period","ChangeEMA",0.86309689283371
"DailyChange1Period","DailyChangeRSI",0.862412869930267
"DailyChange10Period","DailyChangeEMA",0.85965895652771
"Change100Period","DailyChange5Period",0.858315587043762
"SlowRSI","MACD",0.846743702888489
"RSI","MACD",0.844041168689728
"Change1Period","ChangeRSI",0.826139211654663
"Change200Period","DailyChangeEMA",0.82094007730484
"DailyRSI","DailyChange25Period",0.820627272129059
"DailySlowRSI","DailyChange25Period",0.819234251976013
"Change100Period","DailyChangeEMA",0.80272513628006
"DailySlowRSI","DailyChange50Period",0.797946631908417
"ClassChange200Period","DailyClassChange10Period",0.786910653114319
"DailyChangeSlowRSI","DailyClassChangeSlowRSI",0.783797681331635
"RSI","Change25Period",0.782014846801758
"DailyChangeEMA","DailyChangeSlowRSI",0.779912650585175
"SlowRSI","Change50Period",0.770337641239166
"SlowRSI","Change25Period",0.767569065093994
"DailyChange5Period","DailyChangeSlowRSI",0.763284265995026
"DailyMACD","DailyChange50Period",0.763207912445068
"ChangeSlowRSI","ClassChangeSlowRSI",0.762523770332336
"ChangeEMA","ChangeSlowRSI",0.760045647621155
"MACD","Change50Period",0.745287895202637
"DailyChange200Period","DailyClassChange200Period",0.736716866493225
"RSI","ClassChange25Period",0.733575165271759
"Change5Period","ChangeSlowRSI",0.733421742916107
"DailyChange100Period","DailyChange200Period",0.732843458652496
"ConsecChange200Period","DailyConsecChangeEMA",0.73199450969696
"DailyChange10Period","DailyClassChange10Period",0.73179429769516
"DailyRSI","DailyChangeEMA",0.730860829353333
"Change200Period","ClassChange200Period",0.730667889118195
"SlowRSI","ClassChange50Period",0.729142427444458
"DailyRSI","DailyChange50Period",0.729087829589844
"DailyRSI","DailyClassChange25Period",0.728727161884308
"DailyChange25Period","DailyClassChange25Period",0.72848516702652
"DailyClassChangeEMA","DailyClassChangeSlowRSI",0.727124750614166
"DailyChange50Period","DailyClassChange50Period",0.723788917064667
"DailySlowRSI","DailyClassChange25Period",0.722667336463928
"DailyRSI","DailyChange10Period",0.722000062465668
"DailyChangeEMA","DailyClassChangeEMA",0.720295071601868
"DailyChange50Period","DailyChange100Period",0.719768583774567
"DailyChange5Period","DailyClassChange5Period",0.718542098999023
"Change100Period","ClassChange100Period",0.718518316745758
"SlowRSI","ClassChange25Period",0.718321800231934
"DailyMACD","DailyChange10Period",0.717257559299469
"DailyChangeRSI","DailyClassChange1Period",0.716823756694794
"DailyChangeRSI","DailyClassChangeRSI",0.716658592224121
"MACD","Change10Period",0.716378331184387
"DailyChange25Period","DailyChange50Period",0.71406751871109
"Change50Period","ClassChange50Period",0.713973462581635
"ChangeRSI","ClassChange1Period",0.709531307220459
"RSI","Change50Period",0.709069073200226
"ChangeRSI","ClassChangeRSI",0.708924949169159
"Change100Period","DailyChangeSlowRSI",0.707112312316895
"DailyChange100Period","DailyClassChange100Period",0.70620459318161
"ClassChangeEMA","ClassChangeSlowRSI",0.705054402351379
"ChangeFuture5","ChangeFuture10",0.704603672027588
"Change25Period","ClassChange25Period",0.70419055223465
"ChangeFuture50","ChangeFuture100",0.70407509803772
"Change5Period","Change10Period",0.703883767127991
"ChangeFuture100","ChangeFuture200",0.702491939067841
"DailyClassChange5Period","DailyClassChangeEMA",0.701256334781647
"DailySlowRSI","DailyClassChange50Period",0.700550973415375
"DailyChangeSlowRSI","DailyClassChangeEMA",0.700154364109039
"ConsecChange200Period","DailyConsecChange10Period",0.699688971042633
"Change50Period","Change100Period",0.696004927158356
"ChangeFuture25","ChangeFuture50",0.695818424224854
"DailyClassChange10Period","DailyClassChangeEMA",0.695010781288147
"Change25Period","Change50Period",0.693549692630768
"ConsecChange1Period","ConsecChangeRSI",0.693083226680756
"DailyChange5Period","DailyChange10Period",0.691391408443451
"ClassChange100Period","DailyClassChange5Period",0.691207110881805
"Change100Period","Change200Period",0.688945114612579
"RSI","ChangeEMA",0.685750544071198
"DailyMACD","DailyClassChange25Period",0.683310568332672
"ClassChange200Period","DailyChange10Period",0.683083951473236
"Change200Period","DailyRSI",0.681154668331146
"Change10Period","ClassChange10Period",0.679359376430511
