"Symbol","Timestamp","Date","Time","Open","High","Low","Close","HL2","CandleSize","Change","EMA","EMAChange","RSI","RSIChange","SlowRSI","SlowRSIChange","MACD","MACDChange"
"cornusd",2003-03-14,"2003-03-14","00:00",2.2951,2.3,2.278,2.2805,2.289,0.00964700723525534,,,,,,,,,
"cornusd",2003-03-17,"2003-03-17","00:00",2.2755,2.2779,2.2486,2.2486,2.26325,0.0130303299831004,-1.39881604911203,,,,,,,,
"cornusd",2003-03-18,"2003-03-18","00:00",2.2518,2.2616,2.2444,2.2519,2.253,0.00763799458235263,0.146757982744816,,,,,,,,
"cornusd",2003-03-19,"2003-03-19","00:00",2.2599,2.2747,2.2477,2.2723,2.2612,0.0118822338599657,0.905901683023225,,,,,,,,
"cornusd",2003-03-20,"2003-03-20","00:00",2.2828,2.2952,2.2828,2.2903,2.289,0.00541413788586647,0.792148923997704,,,,,,,,
"cornusd",2003-03-21,"2003-03-21","00:00",2.286,2.2934,2.2616,2.269,2.2775,0.0140149845747025,-0.930009169104473,,,,,,,,
"cornusd",2003-03-24,"2003-03-24","00:00",2.259,2.2639,2.2469,2.2493,2.2554,0.00755790690437021,-0.868223887174979,,,,,,,,
"cornusd",2003-03-25,"2003-03-25","00:00",2.2353,2.2549,2.2328,2.2427,2.24385,0.00985419360592144,-0.293424620993188,,,,,,,,
"cornusd",2003-03-26,"2003-03-26","00:00",2.2434,2.2557,2.2386,2.2386,2.24715,0.00763870276065403,-0.182815356489952,,,,,,,,
"cornusd",2003-03-27,"2003-03-27","00:00",2.2491,2.2541,2.2418,2.2468,2.24795,0.00547445255474461,0.366300366300365,2.259,,,,,,,
"cornusd",2003-03-28,"2003-03-28","00:00",2.2401,2.2622,2.2377,2.2378,2.24995,0.010948252748235,-0.40056969912764,2.25514545454545,-0.17063060887762,,,,,,
"cornusd",2003-03-31,"2003-03-31","00:00",2.3139,2.3361,2.3065,2.3288,2.3213,0.0127104087942287,4.06649387791582,2.26853719008264,0.593830234329129,,,,,,
