"Symbol","Timestamp","Date","Time","Open","High","Low","Close","HL2","CandleSize","Change","EMA","EMAChange","RSI","RSIChange","SlowRSI","SlowRSIChange","MACD","MACDChange"
"eurusd",2002-05-05,"2002-05-05","00:00",0.9173,0.9173,0.9173,0.9173,0.9173,0,,,,,,,,,
"eurusd",2002-05-06,"2002-05-06","00:00",0.91825,0.91825,0.91825,0.91825,0.91825,0,0.103564809767787,,,,,,,,
"eurusd",2002-05-07,"2002-05-07","00:00",0.91535,0.91535,0.91535,0.91535,0.91535,0,-0.315818132316914,,,,,,,,
"eurusd",2002-05-08,"2002-05-08","00:00",0.90435,0.90435,0.90435,0.90435,0.90435,0,-1.20172611569345,,,,,,,,
"eurusd",2002-05-09,"2002-05-09","00:00",0.90935,0.90935,0.90935,0.90935,0.90935,0,0.552883286338246,,,,,,,,
"eurusd",2002-05-10,"2002-05-10","00:00",0.914,0.9141,0.914,0.9141,0.91405,0.000109397221310567,0.522351129927978,,,,,,,,
"eurusd",2002-05-13,"2002-05-13","00:00",0.91155,0.91155,0.91155,0.91155,0.91155,0,-0.278962914341985,,,,,,,,
"eurusd",2002-05-14,"2002-05-14","00:00",0.90275,0.90275,0.90275,0.90275,0.90275,0,-0.965388623772689,,,,,,,,
"eurusd",2002-05-15,"2002-05-15","00:00",0.91255,0.91255,0.91255,0.91255,0.91255,0,1.08557186374965,,,,,,,,
"eurusd",2002-05-16,"2002-05-16","00:00",0.91195,0.91195,0.91195,0.91195,0.91195,0,-0.0657498219275632,0.91175,,,,,,,
"eurusd",2002-05-17,"2002-05-17","00:00",0.9209,0.9209,0.9209,0.9209,0.9209,0,0.98141345468501,0.913413636363636,0.182466286113137,,,,,,
"eurusd",2002-05-19,"2002-05-19","00:00",0.9201,0.9201,0.9201,0.9201,0.9201,0,-0.0868715387121299,0.914629338842975,0.133094408813372,,,,,,
"eurusd",2002-05-20,"2002-05-20","00:00",0.92095,0.92095,0.92095,0.92095,0.92095,0,0.0923812629062049,0.915778549962434,0.125647742823642,,,,,,
"eurusd",2002-05-21,"2002-05-21","00:00",0.91985,0.91985,0.91985,0.91985,0.91985,0,-0.119441880666715,0.916518813605628,0.0808343505342091,,,,,,
"eurusd",2002-05-22,"2002-05-22","00:00",0.92575,0.92575,0.92575,0.92575,0.92575,0,0.641408925368259,0.918197211131877,0.183127449358778,,,,,,
"eurusd",2002-05-23,"2002-05-23","00:00",0.92145,0.92145,0.92145,0.92145,0.92145,0,-0.464488252768025,0.918788627289718,0.0644105809373352,,,,,,
"eurusd",2002-05-24,"2002-05-24","00:00",0.921,0.9211,0.921,0.9211,0.92105,0.000108565845185093,-0.0379836127841982,0.919208876873405,0.045739528244626,,,,,,
"eurusd",2002-05-27,"2002-05-27","00:00",0.9209,0.9209,0.9209,0.9209,0.9209,0,-0.0217131690370187,0.919516353805514,0.0334501700151035,,,,,,
"eurusd",2002-05-28,"2002-05-28","00:00",0.92875,0.92875,0.92875,0.92875,0.92875,0,0.852426973612763,0.921195198568147,0.182579108646164,,,,,,
"eurusd",2002-05-29,"2002-05-29","00:00",0.93545,0.93545,0.93545,0.93545,0.93545,0,0.721399730820993,0.923786980646666,0.281349933493691,,,,,0.006151980646666,
"eurusd",2002-05-30,"2002-05-30","00:00",0.93705,0.93705,0.93705,0.93705,0.93705,0,0.171040675610667,0.926198438710909,0.261040490368725,61.6244849911713,,,,0.00671439109186089,9.14194106738107
"eurusd",2002-05-31,"2002-05-31","00:00",0.9339,0.9339,0.9339,0.9339,0.9339,0,-0.336161357451592,0.927598722581652,0.151186161865358,59.3095018037625,-3.75659640440071,,,0.00674172711679977,0.407125896673044
"eurusd",2002-06-02,"2002-06-02","00:00",0.9329,0.9329,0.9329,0.9329,0.9329,0,-0.10707784559375,0.92856259120317,0.103910085045733,58.5741981375498,-1.23977380326958,,,0.00655864292544617,-2.71568676960197
"eurusd",2002-06-03,"2002-06-03","00:00",0.94105,0.94105,0.94105,0.94105,0.94105,0,0.873619894951227,0.93083302916623,0.24451103076617,62.556655149425,6.79899535717621,,,0.00701517120067019,6.9607124585604
"eurusd",2002-06-04,"2002-06-04","00:00",0.93935,0.93935,0.93935,0.93935,0.93935,0,-0.180649274746303,0.932381569317824,0.166360679420841,61.2635027665251,-2.06716995947275,,,0.00708445972993699,0.98769548575206
"eurusd",2002-06-05,"2002-06-05","00:00",0.93935,0.93935,0.93935,0.93935,0.93935,0,0,0.933648556714584,0.135887220259634,61.2635027665251,2.22044604925031e-14,,,0.00701307661125683,-1.00760144600035
