"Symbol","Timestamp","Date","Time","Open","High","Low","Close","HL2","CandleSize","Change","EMA","EMAChange","RSI","RSIChange","SlowRSI","SlowRSIChange","MACD","MACDChange"
"gbpusd",2002-05-05,"2002-05-05","00:00",1.4691,1.4691,1.4691,1.4691,1.4691,0,,,,,,,,,
"gbpusd",2002-05-06,"2002-05-06","00:00",1.4688,1.4688,1.4688,1.4688,1.4688,0,-0.0204206657137052,,,,,,,,
"gbpusd",2002-05-07,"2002-05-07","00:00",1.4681,1.4681,1.4681,1.4681,1.4681,0,-0.047657952069724,,,,,,,,
"gbpusd",2002-05-08,"2002-05-08","00:00",1.45585,1.45585,1.45585,1.45585,1.45585,0,-0.834411824807568,,,,,,,,
"gbpusd",2002-05-09,"2002-05-09","00:00",1.46,1.46,1.46,1.46,1.46,0,0.285056839646924,,,,,,,,
"gbpusd",2002-05-10,"2002-05-10","00:00",1.4639,1.4639,1.4638,1.4638,1.46385,6.83153436261709e-05,0.260273972602731,,,,,,,,
"gbpusd",2002-05-13,"2002-05-13","00:00",1.4567,1.4567,1.4567,1.4567,1.4567,0,-0.485038939745863,,,,,,,,
"gbpusd",2002-05-14,"2002-05-14","00:00",1.4503,1.4503,1.4503,1.4503,1.4503,0,-0.439349213976814,,,,,,,,
"gbpusd",2002-05-15,"2002-05-15","00:00",1.4606,1.4606,1.4606,1.4606,1.4606,0,0.710197890091702,,,,,,,,
"gbpusd",2002-05-16,"2002-05-16","00:00",1.4565,1.4565,1.4565,1.4565,1.4565,0,-0.280706558948374,1.460975,,,,,,,
"gbpusd",2002-05-17,"2002-05-17","00:00",1.4582,1.4582,1.4582,1.4582,1.4582,0,0.11671815997254,1.46047045454545,-0.0345348451921246,,,,,,
"gbpusd",2002-05-19,"2002-05-19","00:00",1.4581,1.4581,1.4581,1.4581,1.4581,0,-0.00685776985324127,1.46003946280992,-0.0295104727518258,,,,,,
"gbpusd",2002-05-20,"2002-05-20","00:00",1.4584,1.4584,1.4584,1.4584,1.4584,0,0.0205747205267004,1.45974137866266,-0.0204161705796624,,,,,,
"gbpusd",2002-05-21,"2002-05-21","00:00",1.4599,1.4599,1.4599,1.4599,1.4599,0,0.102852441031276,1.45977021890581,0.00197570909301614,,,,,,
"gbpusd",2002-05-22,"2002-05-22","00:00",1.4589,1.4589,1.4589,1.4589,1.4589,0,-0.0684978423179605,1.45961199728657,-0.0108388030656936,,,,,,
"gbpusd",2002-05-23,"2002-05-23","00:00",1.4551,1.4551,1.4551,1.4551,1.4551,0,-0.260470217287001,1.45879163414356,-0.0562041929319967,,,,,,
"gbpusd",2002-05-24,"2002-05-24","00:00",1.4573,1.4573,1.4573,1.4573,1.4573,0,0.151192357913543,1.45852042793564,-0.0185911545948381,,,,,,
"gbpusd",2002-05-27,"2002-05-27","00:00",1.4571,1.4571,1.4571,1.4571,1.4571,0,-0.013724010155769,1.45826216831098,-0.0177069597185775,,,,,,
"gbpusd",2002-05-28,"2002-05-28","00:00",1.4591,1.4591,1.4591,1.4591,1.4591,0,0.137258938988394,1.45841450134535,0.0104462035481534,,,,,,
"gbpusd",2002-05-29,"2002-05-29","00:00",1.462,1.462,1.462,1.462,1.462,0,0.198752655746692,1.45906641019165,0.044699832982964,,,,,-0.000626089808353658,
"gbpusd",2002-05-30,"2002-05-30","00:00",1.4652,1.4652,1.4652,1.4652,1.4652,0,0.218878248974019,1.46018160833862,0.0764323089876839,47.1323529411764,,,,-3.54154709043542e-05,-94.3433880520302
"gbpusd",2002-05-31,"2002-05-31","00:00",1.4568,1.4568,1.4568,1.4568,1.4568,0,-0.573300573300572,1.45956677045887,-0.042106945892062,41.708904109589,-11.5068493150685,,,-0.000324822511651002,817.176881618328
"gbpusd",2002-06-02,"2002-06-02","00:00",1.4563,1.4563,1.4563,1.4563,1.4563,0,-0.034321801208137,1.45897281219362,-0.0406941482411605,41.4103435934143,-0.715819613457669,,,-0.000576724303517295,77.5505954270016
"gbpusd",2002-06-03,"2002-06-03","00:00",1.4634,1.4634,1.4634,1.4634,1.4634,0,0.487536908604014,1.45977775543114,0.0551719148428109,47.0732991866045,13.6752200097435,,,-0.000138491875790292,-75.9864678936426
"gbpusd",2002-06-04,"2002-06-04","00:00",1.4588,1.4588,1.4588,1.4588,1.4588,0,-0.314336476698096,1.45959998171639,-0.0121781356163364,44.1622516917979,-6.18407365769462,,,-0.000209956323216742,51.6019059014434
"gbpusd",2002-06-05,"2002-06-05","00:00",1.46,1.46,1.46,1.46,1.46,0,0.0822593912805036,1.45967271231341,0.00498291298511866,45.0946239293025,2.11124252452406,,,-0.000155326865282079,-26.019439232734
"gbpusd",2002-06-06,"2002-06-06","00:00",1.4608,1.4608,1.4608,1.4608,1.4608,0,0.0547945205479516,1.45987767371097,0.0140415995882215,45.7305432882731,1.41018885082091,,,-4.29331649876019e-05,-72.3594724520876
"gbpusd",2002-06-07,"2002-06-07","00:00",1.4601,1.4601,1.4601,1.4601,1.4601,0,-0.0479189485213638,1.45991809667261,0.00276892799782047,45.2478518570551,-1.05551212933386,,,-1.95952627786156e-05,-54.358681023693
"gbpusd",2002-06-09,"2002-06-09","00:00",1.4595,1.4595,1.4595,1.4595,1.4595,0,-0.0410930758167227,1.45984207909577,-0.00520697544691417,44.8210027259919,-0.943357780633913,,,-5.39278933895382e-05,175.208829801405
"gbpusd",2002-06-10,"2002-06-10","00:00",1.46055,1.46055,1.46055,1.46055,1.46055,0,0.0719424460431606,1.45997079198745,0.00881690516532085,45.7635051881641,2.10281431661419,44.8144678511369,,1.24999496369238e-05,-123.179005986072
"gbpusd",2002-06-11,"2002-06-11","00:00",1.47155,1.47155,1.47155,1.47155,1.47155,0,0.753140940056829,1.46207610253519,0.144202237420776,54.3602115506977,18.7850697344684,46.5500576146934,3.87283358874579,0.00101383831049806,8010.73916252644
