"Symbol","Timestamp","Date","Time","Open","High","Low","Close","HL2","CandleSize","Change","EMA","EMAChange","RSI","RSIChange","SlowRSI","SlowRSIChange","MACD","MACDChange"
"nzdusd",2002-09-22,"2002-09-22","00:00",0.4694,0.4694,0.4694,0.4694,0.4694,0,,,,,,,,,
"nzdusd",2002-09-23,"2002-09-23","00:00",0.4688,0.4688,0.4688,0.4688,0.4688,0,-0.127822752449935,,,,,,,,
"nzdusd",2002-09-24,"2002-09-24","00:00",0.4701,0.4701,0.4701,0.4701,0.4701,0,0.277303754266223,,,,,,,,
"nzdusd",2002-09-25,"2002-09-25","00:00",0.472,0.472,0.472,0.472,0.472,0,0.404169325675374,,,,,,,,
"nzdusd",2002-09-26,"2002-09-26","00:00",0.4703,0.4703,0.4703,0.4703,0.4703,0,-0.360169491525419,,,,,,,,
"nzdusd",2002-09-27,"2002-09-27","00:00",0.4712,0.4712,0.4712,0.4712,0.4712,0,0.191367212417615,,,,,,,,
"nzdusd",2002-09-29,"2002-09-29","00:00",0.4703,0.4703,0.4703,0.4703,0.4703,0,-0.19100169779287,,,,,,,,
"nzdusd",2002-09-30,"2002-09-30","00:00",0.4693,0.4693,0.4693,0.4693,0.4693,0,-0.212630236019562,,,,,,,,
"nzdusd",2002-10-01,"2002-10-01","00:00",0.4741,0.4741,0.4741,0.4741,0.4741,0,1.02279991476668,,,,,,,,
"nzdusd",2002-10-02,"2002-10-02","00:00",0.4731,0.4731,0.4731,0.4731,0.4731,0,-0.210925964986286,0.47086,,,,,,,
"nzdusd",2002-10-03,"2002-10-03","00:00",0.47735,0.47735,0.47735,0.47735,0.47735,0,0.898330162756289,0.47204,0.250605275453419,,,,,,
"nzdusd",2002-10-04,"2002-10-04","00:00",0.4791,0.4791,0.4791,0.4791,0.4791,0,0.366607311197242,0.473323636363636,0.271933811464353,,,,,,
"nzdusd",2002-10-06,"2002-10-06","00:00",0.4788,0.4788,0.4788,0.4788,0.4788,0,-0.0626174076393315,0.474319338842975,0.210363988367113,,,,,,
"nzdusd",2002-10-07,"2002-10-07","00:00",0.48355,0.48355,0.48355,0.48355,0.48355,0,0.992063492063489,0.475997640871525,0.353833776342305,,,,,,
"nzdusd",2002-10-08,"2002-10-08","00:00",0.48095,0.48095,0.48095,0.48095,0.48095,0,-0.537690001034019,0.476898069803975,0.18916667965021,,,,,,
"nzdusd",2002-10-09,"2002-10-09","00:00",0.48065,0.48065,0.48065,0.48065,0.48065,0,-0.0623765464185411,0.477580238930525,0.143042962373574,,,,,,
"nzdusd",2002-10-10,"2002-10-10","00:00",0.47955,0.47955,0.47955,0.47955,0.47955,0,-0.228856756475615,0.477938377306793,0.0749901999861136,,,,,,
"nzdusd",2002-10-13,"2002-10-13","00:00",0.4804,0.4804,0.4804,0.4804,0.4804,0,0.177249504744026,0.478385945069194,0.0936454956647959,,,,,,
"nzdusd",2002-10-14,"2002-10-14","00:00",0.47845,0.47845,0.47845,0.47845,0.47845,0,-0.405911740216491,0.47839759142025,0.00243450945320856,,,,,,
"nzdusd",2002-10-15,"2002-10-15","00:00",0.47945,0.47945,0.47945,0.47945,0.47945,0,0.209008255826104,0.47858893843475,0.0399974870132436,,,,,0.00324643843474992,
"nzdusd",2002-10-16,"2002-10-16","00:00",0.4802,0.4802,0.4802,0.4802,0.4802,0,0.156429241839606,0.478881858719341,0.0612049842917184,66.0237388724036,,,,0.00307673967172173,-5.22722874432899
"nzdusd",2002-10-17,"2002-10-17","00:00",0.48175,0.48175,0.48175,0.48175,0.48175,0,0.322782174094116,0.479403338952188,0.108895382723762,67.5927305228661,2.37640533126231,,,0.00303204076624686,-1.45280102459426
"nzdusd",2002-10-18,"2002-10-18","00:00",0.4814,0.4814,0.4814,0.4814,0.4814,0,-0.0726517903476998,0.479766368233608,0.0757252300774169,66.8588644947149,-1.08571738776401,,,0.00291614606537588,-3.82233320083079
"nzdusd",2002-10-20,"2002-10-20","00:00",0.4815,0.4815,0.4815,0.4815,0.4815,0,0.0207727461570384,0.480081574009316,0.0656998482132076,66.9667285464198,0.161330965639439,,,0.00278851585710554,-4.37667405572444
"nzdusd",2002-10-21,"2002-10-21","00:00",0.48405,0.48405,0.48405,0.48405,0.48405,0,0.529595015576323,0.480803106007622,0.150293624535602,69.620741789584,3.96318186773088,,,0.0028665295841937,2.79767916289109
"nzdusd",2002-10-22,"2002-10-22","00:00",0.48345,0.48345,0.48345,0.48345,0.48345,0,-0.123954136969318,0.481284359460782,0.100093665607881,68.2623648697496,-1.95110951839599,,,0.00282269507767979,-1.52918381710114
"nzdusd",2002-10-23,"2002-10-23","00:00",0.48405,0.48405,0.48405,0.48405,0.48405,0,0.124107973937315,0.481787203195185,0.104479550294689,68.9010744451388,0.93566869036541,,,0.00279331637237856,-1.04080336319499
"nzdusd",2002-10-24,"2002-10-24","00:00",0.48585,0.48585,0.48585,0.48585,0.48585,0,0.371862410907964,0.482525893523333,0.153322944912038,70.7593637675297,2.69703968676211,,,0.00287904354079399,3.06901034423215
"nzdusd",2002-10-25,"2002-10-25","00:00",0.4872,0.4872,0.4872,0.4872,0.4872,0,0.277863538129064,0.483375731064545,0.176122681211321,72.0766296432371,1.86161351031238,,,0.00300953346129557,4.53240524683376
"nzdusd",2002-10-27,"2002-10-27","00:00",0.4872,0.4872,0.4872,0.4872,0.4872,0,0,0.484071052689173,0.143847028293442,72.0766296432371,0,68.9138866594881,,0.00305401676242362,1.47807963261195
"nzdusd",2002-10-28,"2002-10-28","00:00",0.4891,0.4891,0.4891,0.4891,0.4891,0,0.389983579638753,0.484985406745687,0.188888397980902,73.9095390390298,2.54300097668994,69.822187092132,1.31802235612102,0.0031985647167232,4.73304390722689
"nzdusd",2002-10-29,"2002-10-29","00:00",0.48625,0.48625,0.48625,0.48625,0.48625,0,-0.582702923737466,0.485215332791926,0.0474088587080423,66.968689716649,-9.39100610371224,69.3033693874987,-0.743055647839708,0.00300342809905368,-6.10075564984726
"nzdusd",2002-10-30,"2002-10-30","00:00",0.48305,0.48305,0.48305,0.48305,0.48305,0,-0.658097686375325,0.484821635920667,-0.0811385883034643,60.2782554173157,-9.9903915212335,67.6624395747382,-2.36774896698826,0.00252991262711555,-15.7658334516924
"nzdusd",2002-10-31,"2002-10-31","00:00",0.48625,0.48625,0.48625,0.48625,0.48625,0,0.662457302556674,0.485081338480545,0.0535666192754691,64.057989681924,6.27047720349678,67.007085048772,-0.968564731164201,0.00241263645304679,-4.63558198855547
"nzdusd",2002-11-01,"2002-11-01","00:00",0.492,0.492,0.492,0.492,0.492,0,1.18251928020565,0.486339276938628,0.259325263268839,69.5401846916532,8.55817523614253,67.4676486202049,0.687335631892849,0.00278187986612927,15.3045608100706
"nzdusd",2002-11-03,"2002-11-03","00:00",0.4917,0.4917,0.4917,0.4917,0.4917,0,-0.0609756097560865,0.487313953858877,0.200410899646997,68.9624946469446,-0.830728372767608,67.7394388068849,0.402845203943514,0.00298107079328336,7.1602993924841
"nzdusd",2002-11-04,"2002-11-04","00:00",0.4962,0.4962,0.4962,0.4962,0.4962,0,0.915192190359959,0.488929598611809,0.331540835253663,72.5615334847529,5.21883504393748,68.61618329377,1.29428956355035,0.00346651393341418,16.2841869178208
"nzdusd",2002-11-05,"2002-11-05","00:00",0.4958,0.4958,0.4958,0.4958,0.4958,0,-0.080612656187018,0.490178762500571,0.255489520844865,71.7827021775209,-1.07333909556313,69.1919139999065,0.839059648176033,0.00373120969630902,7.63579111404695
"nzdusd",2002-11-06,"2002-11-06","00:00",0.4979,0.4979,0.4979,0.4979,0.4979,0,0.423557886244441,0.491582623864103,0.286397835020624,73.3627218431721,2.20111477796379,69.950242698682,1.09597878557974,0.00404436180310458,8.39277693519427
"nzdusd",2002-11-07,"2002-11-07","00:00",0.4997,0.4997,0.4997,0.4997,0.4997,0,0.361518377184167,0.493058510434266,0.300231639304438,74.6437584935825,1.74616837847004,70.8036092068457,1.21996218346188,0.00436198761717221,7.85354598650929
"nzdusd",2002-11-08,"2002-11-08","00:00",0.4966,0.4966,0.4966,0.4966,0.4966,0,-0.620372223333998,0.493702417628036,0.130594479183133,68.657882724971,-8.01925826005407,70.4134771192322,-0.55100593314934,0.00425318269828423,-2.49438853195368
"nzdusd",2002-11-10,"2002-11-10","00:00",0.4954,0.4954,0.4954,0.4954,0.4954,0,-0.241643173580341,0.494011068968393,0.0625176886594803,66.4853995092658,-3.16421527941341,69.6992811901474,-1.01428868208772,0.00399509450814139,-6.06811906403528
"nzdusd",2002-11-11,"2002-11-11","00:00",0.4947,0.4947,0.4947,0.4947,0.4947,0,-0.141299959628594,0.494136329155958,0.0253557451306508,65.2182485875627,-1.90590856196403,68.8845479896774,-1.16892625943625,0.00367425702525404,-8.03078581078724
"nzdusd",2002-11-12,"2002-11-12","00:00",0.4933,0.4933,0.4933,0.4933,0.4933,0,-0.282999797857275,0.49398426930942,-0.0307728530702378,62.702354800822,-3.85765309744992,67.760512864431,-1.63176671408933,0.00325191833402133,-11.4945331349949
"nzdusd",2002-11-13,"2002-11-13","00:00",0.4971,0.4971,0.4971,0.4971,0.4971,0,0.770322319075611,0.494550765798616,0.114679054454148,66.4051357219796,5.90532992408306,67.5140806567125,-0.363681143044869,0.00321197205896995,-1.2283910894523
"nzdusd",2002-11-14,"2002-11-14","00:00",0.5001,0.5001,0.5001,0.5001,0.5001,0,0.603500301750159,0.495559717471595,0.204013772246325,68.9655198801521,3.85570201812724,67.7779786973379,0.390878522018556,0.00338652313572463,5.43438963820433
"nzdusd",2002-11-15,"2002-11-15","00:00",0.5,0.5,0.5,0.5,0.5,0,-0.0199960007998379,0.496367041567669,0.162911565974855,68.7815869150045,-0.26670278925951,67.9604529187318,0.269223462990453,0.00344843716854781,1.82824774383055
"nzdusd",2002-11-17,"2002-11-17","00:00",0.499,0.499,0.499,0.499,0.499,0,-0.2,0.496845761282638,0.0964447021819526,66.9033439218725,-2.73073518273564,67.7682512829392,-0.282813941841198,0.00334797635010003,-2.91322745747123
"nzdusd",2002-11-18,"2002-11-18","00:00",0.4972,0.4972,0.4972,0.4972,0.4972,0,-0.360721442885781,0.496910168322158,0.0129631858695856,63.6120412847422,-4.91948898843357,67.0125767378125,-1.11508638753525,0.00305979147843349,-8.60773319554454
"nzdusd",2002-11-19,"2002-11-19","00:00",0.49755,0.49755,0.49755,0.49755,0.49755,0,0.0703942075623631,0.497026501354493,0.0234112802979247,63.9747838517107,0.570241985074449,66.4602507585212,-0.824212418293113,0.00282377944826595,-7.71333706336004
"nzdusd",2002-11-20,"2002-11-20","00:00",0.49845,0.49845,0.49845,0.49845,0.49845,0,0.18088634308111,0.49728531929004,0.0520732666852375,64.9213151757066,1.47953813519708,66.1804442889186,-0.421013261926018,0.00267809470821523,-5.15921100495952
"nzdusd",2002-11-21,"2002-11-21","00:00",0.50315,0.50315,0.50315,0.50315,0.50315,0,0.942923061490619,0.498351624873669,0.214425309227195,69.3483594274902,6.81909206522071,66.7564288595679,0.870324424137792,0.00293080263297046,9.43610858794641
"nzdusd",2002-11-22,"2002-11-22","00:00",0.5032,0.5032,0.503,0.503,0.5031,0.000397614314115264,-0.0298121832455478,0.499196783987547,0.1695909216896,69.0555809555057,-0.422185145260101,67.1744565133748,0.626198346658491,0.00305413529358201,4.2081530575991
"nzdusd",2002-11-25,"2002-11-25","00:00",0.4997,0.4997,0.4997,0.4997,0.4997,0,-0.656063618290259,0.499288277807993,0.0183282071080537,62.9053734501449,-8.90617010278081,66.3982595927875,-1.15549415786151,0.00280683375154844,-8.09726872785382
"nzdusd",2002-11-26,"2002-11-26","00:00",0.4967,0.4967,0.4967,0.4967,0.4967,0,-0.600360216129681,0.498817681842903,-0.0942533574302629,57.9652017132968,-7.85333822199358,64.864976341971,-2.30922204922228,0.0023154229346915,-17.5076566820477
"nzdusd",2002-11-27,"2002-11-27","00:00",0.49425,0.49425,0.49425,0.49425,0.49425,0,-0.493255486208966,0.497987194235103,-0.166491212727737,54.2993874518222,-6.32416372775887,62.9439601801258,-2.9615614930892,0.001699436175292,-26.6036390229318
"nzdusd",2002-11-28,"2002-11-28","00:00",0.49465,0.49465,0.49465,0.49465,0.49465,0,0.08093070308548,0.497380431646902,-0.121843010267064,54.7907484975977,0.904910844917794,61.4615580560298,-2.35511416798981,0.00124865054516871,-26.5255992944743
"nzdusd",2002-11-29,"2002-11-29","00:00",0.4984,0.4984,0.4984,0.4984,0.4984,0,0.758111796219563,0.497565807711102,0.0372704779690869,59.1274371507463,7.91500166006798,61.0371724368873,-0.690489523151339,0.00121800576191433,-2.45423216070706
"nzdusd",2002-12-01,"2002-12-01","00:00",0.4993,0.4993,0.4993,0.4993,0.4993,0,0.180577849117181,0.497881115399992,0.0633700475402454,60.0944926523432,1.63554442437845,60.8657761124247,-0.280806462061789,0.00125215173167986,2.80343253153943
