"Timestamp","Open","High","Low","Close"
"20030312 00:00",346.6,346.6,346.6,346.6
"20030321 00:00",346.786,349.837,344.112,349.189
"20030324 00:00",344.265,345.947,340.179,341.919
"20030325 00:00",342.396,347.383,341.652,346.391
"20030326 00:00",346.311,347.064,342.069,342.187
"20030327 00:00",340.516,345.711,340.243,344.424
"20030328 00:00",342.939,346.795,342.939,344.887
"20030331 00:00",341.328,344.858,338.242,339.155
"20030401 00:00",341.414,345.804,339.825,345.431
"20030402 00:00",349.948,353.96,348.822,351.905
"20030403 00:00",354.268,354.515,351.362,351.905
"20030404 00:00",354.364,355.308,350.392,351.246
"20030407 00:00",358.504,361.341,353.204,353.305
"20030408 00:00",354.264,354.792,351.449,353.305
"20030409 00:00",353.792,357.867,349.336,351.795
"20030410 00:00",352.281,353.276,350.319,352.644
"20030411 00:00",354.549,355.402,349.554,350.373
"20030414 00:00",352.369,357.85,352.18,357.378
"20030415 00:00",357.204,360.985,354.833,360.985
"20030416 00:00",361.952,362.808,357.174,357.761
"20030417 00:00",358.157,364.409,358.157,363.179
"20030421 00:00",365.597,367.586,363.896,367.109
"20030422 00:00",365.032,373.594,364.746,372.269
"20030423 00:00",373.534,377.431,373.161,376.864
"20030424 00:00",374.788,376.864,373.245,374.682
"20030425 00:00",373.941,374.899,370.101,371.539
"20030428 00:00",373.02,379.23,372.35,377.418
"20030429 00:00",379.266,382.537,378.5,379.831
"20030430 00:00",379.57,384.157,378.042,382.152
"20030501 00:00",382.18,382.757,377.867,379.803
"20030502 00:00",382.583,391.898,382.198,391.228
"20030505 00:00",393.527,395.446,392.584,394.483
"20030506 00:00",395.675,399.104,395.193,398.08
"20030507 00:00",396.958,398.63,395.421,396.178
"20030508 00:00",393.701,395.743,392.447,394.273
"20030509 00:00",395.854,399.421,394.995,399.037
"20030512 00:00",399.811,405.419,399.617,405.33
"20030513 00:00",404.496,408.234,402.171,407.498
"20030514 00:00",408.801,408.997,405.51,407.436
"20030515 00:00",409.323,410.788,407.319,410.289
"20030516 00:00",410.04,410.331,404.587,405.269
"20030519 00:00",403.716,406.447,397.953,398.543
"20030520 00:00",399.358,401.219,395.531,398.374
"20030521 00:00",398.116,400.934,396.851,400.06
"20030522 00:00",401.17,405.846,400.391,404.974
"20030523 00:00",405.305,409.406,403.254,409.015
"20030526 00:00",411.191,411.191,411.191,411.191
"20030527 00:00",409.157,419.646,408.764,419.551
"20030528 00:00",421.266,423.822,420.589,422.735
"20030529 00:00",423.961,427.91,421.982,426.12
"20030530 00:00",427.939,434.13,427.841,433.052
"20030602 00:00",436.855,441.605,434.97,436.46
"20030603 00:00",435.232,438.878,434.347,438.191
"20030604 00:00",438.444,446.338,438.444,445.159
"20030605 00:00",442.945,452.137,441.861,452.137
"20030606 00:00",456.353,461.011,447.748,448.444
"20030609 00:00",447.935,449.225,439.803,440.798
"20030610 00:00",441.548,447.994,441.449,447.502
"20030611 00:00",448.157,453.023,443.891,452.727
"20030612 00:00",455.9,456.797,452.616,455.606
"20030613 00:00",455.818,456.316,447.35,448.848
"20030616 00:00",450.09,455.973,449.293,455.176
"20030617 00:00",457.779,457.879,452.599,456.19
"20030618 00:00",454.608,457.2,452.316,455.709
"20030619 00:00",456.817,458.711,447.753,449.248
"20030620 00:00",451.353,451.553,445.079,445.478
"20030623 00:00",446.72,448.314,436.557,437.355
