"Symbol","Timestamp","Date","Time","Open","High","Low","Close","HL2","CandleSize","Change","EMA","EMAChange","RSI","RSIChange","SlowRSI","SlowRSIChange","MACD","MACDChange"
"usdchf",2002-05-05,"2002-05-05","00:00",1.586,1.586,1.586,1.586,1.586,0,,,,,,,,,
"usdchf",2002-05-06,"2002-05-06","00:00",1.5849,1.5849,1.5849,1.5849,1.5849,0,-0.069356872635562,,,,,,,,
"usdchf",2002-05-07,"2002-05-07","00:00",1.58845,1.58845,1.58845,1.58845,1.58845,0,0.223988895198435,,,,,,,,
"usdchf",2002-05-08,"2002-05-08","00:00",1.60955,1.60955,1.60955,1.60955,1.60955,0,1.32833894677202,,,,,,,,
"usdchf",2002-05-09,"2002-05-09","00:00",1.59785,1.59785,1.59785,1.59785,1.59785,0,-0.726911248485607,,,,,,,,
"usdchf",2002-05-10,"2002-05-10","00:00",1.5912,1.5912,1.5912,1.5912,1.5912,0,-0.416184247582696,,,,,,,,
"usdchf",2002-05-13,"2002-05-13","00:00",1.596,1.596,1.596,1.596,1.596,0,0.301659125188536,,,,,,,,
"usdchf",2002-05-14,"2002-05-14","00:00",1.6145,1.6145,1.6145,1.6145,1.6145,0,1.15914786967419,,,,,,,,
"usdchf",2002-05-15,"2002-05-15","00:00",1.595,1.595,1.595,1.595,1.595,0,-1.20780427376898,,,,,,,,
"usdchf",2002-05-16,"2002-05-16","00:00",1.5974,1.5974,1.5974,1.5974,1.5974,0,0.150470219435728,1.596085,,,,,,,
"usdchf",2002-05-17,"2002-05-17","00:00",1.5803,1.5811,1.5803,1.5811,1.5807,0.000505976851558985,-1.02040816326531,1.59336045454545,-0.170701776819249,,,,,,
"usdchf",2002-05-19,"2002-05-19","00:00",1.5811,1.5811,1.5811,1.5811,1.5811,0,0,1.59113128099174,-0.139903908582628,,,,,,
"usdchf",2002-05-20,"2002-05-20","00:00",1.5774,1.5774,1.5774,1.5774,1.5774,0,-0.234014293846063,1.58863468444778,-0.156907011619811,,,,,,
"usdchf",2002-05-21,"2002-05-21","00:00",1.5773,1.5773,1.5773,1.5773,1.5773,0,-0.0063395460884963,1.58657383273,-0.129724708767476,,,,,,
"usdchf",2002-05-22,"2002-05-22","00:00",1.5693,1.5693,1.5693,1.5693,1.5693,0,-0.507195840994101,1.58343313587,-0.197954661498279,,,,,,
"usdchf",2002-05-23,"2002-05-23","00:00",1.5782,1.5782,1.5782,1.5782,1.5782,0,0.567131842222657,1.58248165662091,-0.0600896386173555,,,,,,
"usdchf",2002-05-26,"2002-05-26","00:00",1.5826,1.5826,1.5826,1.5826,1.5826,0,0.278798631352162,1.58250317359893,0.00135969841583705,,,,,,
"usdchf",2002-05-27,"2002-05-27","00:00",1.58245,1.58245,1.58245,1.58245,1.58245,0,-0.00947807405535794,1.58249350567185,-0.00061092623631076,,,,,,
"usdchf",2002-05-28,"2002-05-28","00:00",1.5739,1.5739,1.5739,1.5739,1.5739,0,-0.54030143132483,1.58093105009515,-0.0987337749633665,,,,,,
"usdchf",2002-05-29,"2002-05-29","00:00",1.5685,1.5685,1.5685,1.5685,1.5685,0,-0.343096765995299,1.57867085916876,-0.142965812851548,,,,,-0.00796414083124097,
"usdchf",2002-05-30,"2002-05-30","00:00",1.56225,1.56225,1.56225,1.56225,1.56225,0,-0.39846987567741,1.5756852484108,-0.189121800824799,42.1383647798742,,,,-0.00862737063681629,8.32770062244079
"usdchf",2002-05-31,"2002-05-31","00:00",1.568,1.568,1.568,1.568,1.568,0,0.368058889422307,1.57428793051793,-0.0886800136183585,44.3675773463542,5.29022086672131,,,-0.00847110576324961,-1.81126881114668
"usdchf",2002-06-02,"2002-06-02","00:00",1.5697,1.5697,1.5697,1.5697,1.5697,0,0.108418367346941,1.57345376133285,-0.0529870787235098,45.0267057299494,1.48560823695576,,,-0.00806155720726309,-4.83465284736817
"usdchf",2002-06-03,"2002-06-03","00:00",1.56035,1.56035,1.56035,1.56035,1.56035,0,-0.59565522074283,1.57107125927233,-0.15141862564173,42.1364325756845,-6.41901979593962,,,-0.00842831464491356,4.54946145293165
"usdchf",2002-06-04,"2002-06-04","00:00",1.5652,1.5652,1.5652,1.5652,1.5652,0,0.310827698913707,1.57000375758645,-0.0679473753707027,44.0958165249668,4.65009453698519,,,-0.00813395214819779,-3.4925428050247
"usdchf",2002-06-05,"2002-06-05","00:00",1.5651,1.5651,1.5651,1.5651,1.5651,0,-0.00638895987733479,1.56911216529801,-0.0567891818180621,44.0634327610579,-0.0734395379448527,,,-0.00778385779524848,-4.3041112926497
"usdchf",2002-06-06,"2002-06-06","00:00",1.5558,1.5558,1.5558,1.5558,1.5558,0,-0.594211232509101,1.56669177160746,-0.154252432941093,41.1080346401055,-6.70714453179025,,,-0.00819510642929488,5.28335235386033
"usdchf",2002-06-07,"2002-06-07","00:00",1.5578,1.5578,1.5578,1.5578,1.5578,0,0.12855122766422,1.56507508586065,-0.103191053665408,41.9888254319266,2.14262442739559,,,-0.0081844704583196,-0.129784415456291
"usdchf",2002-06-09,"2002-06-09","00:00",1.5584,1.5584,1.5584,1.5584,1.5584,0,0.0385158556939214,1.56386143388599,-0.0775459264305112,42.2615220165117,0.649450375855665,,,-0.00798292659308153,-2.4625156418422
"usdchf",2002-06-10,"2002-06-10","00:00",1.55885,1.55885,1.55885,1.55885,1.55885,0,0.0288757700205311,1.56295026408853,-0.0582641004956419,42.4750045219618,0.505146277899526,42.9661716328393,,-0.00765653824966983,-4.08858004149213
"usdchf",2002-06-11,"2002-06-11","00:00",1.55535,1.55535,1.55535,1.55535,1.55535,0,-0.22452448920679,1.56156839789062,-0.0884139585031085,41.2270154542498,-2.93817288957964,42.6499614185503,-0.735951569041626,-0.00758537565347073,-0.929435651969379
"usdchf",2002-06-12,"2002-06-12","00:00",1.56605,1.56605,1.56605,1.56605,1.56605,0,0.687948050278075,1.56238323463778,0.0521806632524546,46.3040594753368,12.3148473522686,43.3143428834205,1.55775396453539,-0.00647494142592131,-14.6391461448759
"usdchf",2002-06-13,"2002-06-13","00:00",1.56305,1.56305,1.56305,1.56305,1.56305,0,-0.191564764854246,1.56250446470364,0.00775930406642367,45.1529072070756,-2.4860720232841,43.6486273059033,0.77176380900541,-0.00580055173494864,-10.4153790221617
"usdchf",2002-06-14,"2002-06-14","00:00",1.5608,1.5608,1.5608,1.5608,1.5608,0,-0.143949329835902,1.56219456203025,-0.0198337144238114,44.2837550658505,-1.92490848316613,43.7641050804392,0.264562213438135,-0.00539569093799575,-6.97969461273125
"usdchf",2002-06-16,"2002-06-16","00:00",1.5609,1.5609,1.5609,1.5609,1.5609,0,0.00640697078422292,1.56195918711566,-0.0150669398237269,44.3338847395299,0.113201045405642,43.867701382092,0.236715229210005,-0.00499389890322988,-7.44653538134481
"usdchf",2002-06-17,"2002-06-17","00:00",1.56265,1.56265,1.56265,1.56265,1.56265,0,0.112114805560903,1.56208478945827,0.00804133319511902,45.2414532024739,2.04712144734454,44.1174744403433,0.569378039837765,-0.00445847884453765,-10.7214837358028
"usdchf",2002-06-18,"2002-06-18","00:00",1.55015,1.55015,1.55015,1.55015,1.55015,0,-0.7999232073721,1.55991482773858,-0.138914464459861,40.3011431508825,-10.9198748092406,43.4235960240777,-1.57279723072967,-0.0050671769163364,13.6525952690009
"usdchf",2002-06-19,"2002-06-19","00:00",1.53615,1.53615,1.53615,1.53615,1.53615,0,-0.903138405960713,1.55559394996793,-0.276994467506597,35.7045539846881,-11.4056049203998,42.0201338350977,-3.23202663409481,-0.00664214948175701,31.0818546781532
