"Timestamp","Open","High","Low","Close","EMA","RSI","SlowRSI","MACD"
"20120420 21:00",1650,1650,1650,1650,,,,
"20120420 22:00",1650,1650,1650,1650,,,,
"20120421 13:00",1650,1650,1650,1650,,,,
"20120423 14:00",1554,1560.2,1553.5,1555.375,,,,
"20120423 15:00",1555.424,1561.2,1554.527,1558.875,,,,
"20120423 16:00",1558.825,1558.825,1556.525,1557.25,,,,
"20120423 17:00",1557.2,1558.2,1553.8,1557.774,,,,
"20120423 18:00",1557.825,1558.925,1556.25,1556.65,,,,
"20120423 19:00",1556.7,1559.95,1556.7,1559.6,,,,
"20120423 20:00",1559.65,1560.1,1559.426,1559.975,1585.5499,,,
"20120423 21:00",1559.851,1559.851,1559.352,1559.352,1580.78664545455,,,
"20120423 22:00",1559.848,1559.848,1555.876,1558.4,1576.71634628099,,,
"20120423 23:00",1558.45,1559.2,1556.7,1559.15,1573.52246513899,,,
"20120424 00:00",1559.1,1559.2,1555.6,1558.325,1570.75928965918,,,
"20120424 01:00",1558.2,1558.974,1555.725,1557.776,1568.39869153933,,,
"20120424 02:00",1557.651,1559.974,1556.476,1556.825,1566.29438398672,,,
"20120424 03:00",1556.775,1557.625,1550.726,1552.351,1563.75922326186,,,
"20120424 04:00",1552.3,1554.85,1550.676,1554.7,1562.11209175971,,,
"20120424 05:00",1554.65,1555.325,1550.926,1554.2,1560.67352962158,,,
"20120424 06:00",1554.051,1555.25,1553.676,1554.725,1559.59197878129,,,-11.473171218709
"20120424 07:00",1554.775,1560.674,1554.726,1558.872,1559.46107354833,12.4579790389557,,-10.4428240707186
"20120424 08:00",1558.825,1560.975,1555.426,1556.101,1558.850151085,12.165602614029,,-9.73918485604668
"20120424 09:00",1556.05,1557.949,1553.851,1554.625,1558.08194179681,12.007595359752,,-9.17745738793815
"20120424 10:00",1554.575,1555.349,1551.301,1553.449,1557.23958874285,11.8782080488776,,-8.70453432907084
"20120424 11:00",1553.4,1560.2,1552.878,1559.274,1557.60948169869,16.5657484061522,,-7.69939155685188
"20120424 12:00",1559.225,1559.299,1555.6,1555.85,1557.2895759353,16.0378832818439,,-7.11845224829426
"20120424 13:00",1555.8,1558.399,1553.551,1555.549,1556.97310758342,15.9907324456283,,-6.59120363030047
"20120424 14:00",1555.5,1557.799,1550.726,1550.849,1555.85963347735,15.2536373447125,,-6.49369571602256
"20120424 15:00",1550.726,1551.95,1545.325,1547.95,1554.42151829965,14.8103877482582,,-6.56006525625821
"20120424 16:00",1547.826,1548.174,1544.95,1546.374,1552.95833315426,14.5681379797453,14.1735912267955,-6.63205196775289
"20120424 17:00",1546.325,1548.424,1544.128,1546.274,1551.74299985348,14.5522398159702,14.2424364248272,-6.57915811404973
"20120424 18:00",1546.225,1547,1545.452,1547,1550.88063624376,15.258963599593,14.4272595475119,-6.36322096496133
"20120424 19:00",1547.05,1547.324,1544.475,1544.525,1549.72506601762,14.8191316658958,14.4985090235817,-6.30747145693522
"20120424 20:00",1544.575,1546,1544.575,1545.651,1548.98432674169,15.9789485186446,14.7676798408659,-6.05949287814678
"20120424 21:00",1545.527,1545.774,1545.152,1545.398,1548.33226733411,15.9276555620815,14.9785845174505,-5.79290279812358
"20120424 22:00",1545.326,1548.291,1545.326,1547.5,1548.18094600063,18.2234186638165,15.5685543622443,-5.31325554757609
"20120424 23:00",1547.45,1549.149,1547.1,1548.151,1548.17550127325,18.9449886423179,16.1824515040759,-4.80982393703948
"20120425 00:00",1548.199,1551.124,1548.152,1550.551,1548.60741013266,21.6285649667648,17.1726539518375,-4.14607458141199
"20120425 01:00",1550.6,1550.724,1547.001,1549.55,1548.77879010854,21.3186848430958,17.9264777502481,-3.66960082323908
"20120425 02:00",1549.426,1549.725,1547.676,1548.751,1548.77373736153,21.0651026857468,18.4971368294297,-3.32252110055288
"20120425 03:00",1548.7,1549.574,1547.901,1549.574,1548.91923965943,22.0701615755347,19.1467776923579,-2.93680371102255
"20120425 04:00",1549.476,1550.274,1548.401,1549.676,1549.05683244863,22.1993971728036,19.7017994160753,-2.59158774369007
"20120425 05:00",1549.774,1550.099,1546.35,1546.975,1548.67831745797,21.2185639376271,19.9775747836302,-2.52501509698618
"20120425 06:00",1546.826,1549.424,1546.052,1548.999,1548.7366233747,23.8717172365206,20.6856006841557,-2.25677274644818
"20120425 07:00",1549.124,1552.424,1548.851,1552.424,1549.40705548839,28.1800572283157,22.0482291467302,-1.7225886212193
"20120425 08:00",1552.375,1552.474,1548.153,1551.178,1549.72904539959,27.5822953693003,23.0544230053793,-1.40520403291202
"20120425 09:00",1551.126,1554,1547.953,1548.198,1549.45067350876,26.1840060534407,23.6234381050269,-1.40393312065157
"20120425 10:00",1548.249,1554.225,1548.249,1553.576,1550.2007328708,32.6683605856317,25.2679694651368,-0.913054079616359
"20120425 11:00",1553.675,1557.75,1552.227,1556.551,1551.35532689429,35.9448796431988,27.2092258611481,-0.276289870371784
"20120425 12:00",1556.699,1558.15,1550.477,1550.55,1551.2089038226,32.5786787701624,28.1854900264234,-0.319701821617173
"20120425 13:00",1550.674,1558.099,1550.476,1557.424,1552.3389213094,39.419357087775,30.2280113103055,0.248849536060334
"20120425 14:00",1557.301,1558.05,1551.601,1551.776,1552.23657198042,36.2392438036201,31.3209626727264,0.176411804539157
"20120425 15:00",1551.725,1551.95,1546.351,1548.249,1551.51155889307,34.4142614309059,31.883380628759,-0.185633647011855
"20120425 16:00",1548.126,1550.164,1541.851,1545.874,1550.48654818524,33.2281637987601,32.1278866596683,-0.656054589120913
"20120425 17:00",1545.751,1554.024,1545.7,1549.924,1550.38426669701,37.1183780844142,33.0352487368948,-0.642278670264659
"20120425 18:00",1549.875,1554.574,1545.401,1554.476,1551.12821820665,41.1732634959858,34.5148877840023,-0.22684664946155
"20120425 19:00",1554.376,1554.499,1551.229,1553.599,1551.57745125998,40.6417660800376,35.6288656560087,0.00867829493313366
"20120425 20:00",1553.55,1553.824,1552.25,1553.249,1551.88136921271,40.4225590311228,36.5004462696658,0.152574625287343
"20120425 21:00",1553.126,1553.126,1553.126,1553.126,1552.10766571949,40.3420668769566,37.1989227437187,0.245803949916763
"20120425 22:00",1553.002,1553.724,1551.75,1552.101,1552.10645377049,39.6494986001563,37.6444819903437,0.221816931353487
"20120425 23:00",1552.224,1554.7,1550.305,1554.7,1552.5780076304,42.2936531759081,38.4897858422645,0.425240966419778
"20120426 00:00",1554.75,1556.174,1554.126,1555.874,1553.17727897033,43.4712949596669,39.3955147727013,0.670109131487379
"20120426 01:00",1555.825,1555.999,1555.375,1555.375,1553.57686461209,43.077968033713,40.0650517292489,0.796568091230256
"20120426 02:00",1555.325,1555.624,1554.402,1555.201,1553.87216195535,42.9353772418498,40.5869290951763,0.861322245996917
"20120426 03:00",1555.076,1556.174,1554.95,1555.401,1554.15013250892,43.1630046348925,41.0553064660338,0.911658486174929
"20120426 04:00",1555.276,1556.349,1554.776,1555,1554.30465387093,42.8026591404202,41.3730069522859,0.89841546940329
"20120426 05:00",1555.124,1555.999,1554.25,1555.549,1554.53089862167,43.4826353169088,41.7565757458537,0.920587686955059
"20120426 06:00",1555.426,1556.649,1555.102,1556.224,1554.83873523591,44.3390348351787,42.2261137620946,0.979501533073972
"20120426 07:00",1556.274,1563.798,1555.652,1561.648,1556.07678337484,50.6626138703549,43.7600228726874,1.47576240560215
"20120426 08:00",1561.601,1562.848,1559.501,1560.35,1556.85373185214,49.2530752600329,44.7587596703865,1.70518907045039
"20120426 09:00",1560.3,1561.099,1559.425,1560.051,1557.43505333357,48.9230283988161,45.5158994391919,1.81960986442141
"20120426 10:00",1560,1561.423,1557.802,1558.948,1557.71013454565,47.6822904030973,45.9097887053565,1.77730474022815
"20120426 11:00",1558.901,1559.173,1557.201,1557.902,1557.74501917371,46.5049593862268,46.0180015564238,1.6246493497606
"20120426 12:00",1557.777,1559.249,1554.152,1556.398,1557.50010659667,44.8296338234416,45.8019346958816,1.35329580357438
"20120426 13:00",1556.326,1557.424,1552.678,1554.551,1556.96390539728,42.8348639896911,45.2624672947561,0.969076584474124
"20120426 14:00",1554.428,1563.924,1554.426,1562.152,1557.90719532505,52.0730664384998,46.500758048164,1.3259692563181
"20120426 15:00",1562.028,1565.098,1559.726,1563.673,1558.95552344776,53.6507989072177,47.8007654770829,1.69889033796335
"20120426 16:00",1563.601,1564.748,1562.577,1564.052,1559.88215554817,54.0475777619132,48.9365495288702,1.97834463930303
"20120426 17:00",1564.001,1572.223,1564.001,1570.328,1561.78139999396,60.0142434365366,50.9506756939004,2.69433298117292
"20120426 18:00",1570.472,1571.097,1567.953,1568.223,1562.95259999506,57.3836309339468,52.1203039193634,2.995444126346
"20120426 19:00",1568.274,1569.473,1566.651,1567.953,1563.86176363232,57.0460204254324,53.0158887386487,3.14309879872371
"20120426 20:00",1567.901,1569.695,1567.653,1568.801,1564.75980660826,57.8655668682852,53.8976483985826,3.2713955683414
"20120426 21:00",1568.702,1568.822,1568.578,1568.578,1565.45402358858,57.5615567072534,54.5638135456136,3.29041360007864
"20120426 22:00",1569.066,1571.064,1566.453,1567.449,1565.81674657247,55.9938188383622,54.8238145079316,3.14976610668805
"20120426 23:00",1567.499,1567.499,1565.75,1567.128,1566.05515628657,55.54108519944,54.9542273609331,2.96331681752531
"20120427 00:00",1567.248,1572.048,1566.603,1571.028,1566.95930968901,59.7075030891212,55.8184593115127,3.11164540749519
"20120427 01:00",1570.976,1570.976,1565.276,1566.65,1566.90307156374,53.7548673319849,55.4432607697804,2.78851816617453
"20120427 02:00",1566.75,1568.575,1564.75,1565.675,1566.67978582487,52.527229821577,54.9130733246525,2.4166184651765
"20120427 03:00",1565.775,1568.65,1563.751,1565.55,1566.47437022035,52.3658377473444,54.4499395833238,2.08864737110139
"20120427 04:00",1565.65,1568.475,1564.925,1568.35,1566.81539381665,55.5836795995312,54.6560741317251,2.05212076256794
"20120427 05:00",1568.4,1568.8,1564.427,1565.026,1566.49004948635,51.2567795896702,54.0380205786242,1.701754818371
"20120427 06:00",1564.926,1565.324,1563.075,1564.15,1566.06458594338,50.1732975984264,53.3353436731337,1.33708124377722
"20120427 07:00",1564.1,1567.225,1562.2,1567.175,1566.26647940822,53.7286314883086,53.40685054862,1.3058799181033
"20120427 08:00",1567.1,1570.525,1565.778,1568.95,1566.75439224309,55.6818431560965,53.8204855681612,1.41384984726915
"20120427 09:00",1568.701,1570.625,1568.3,1568.6,1567.0899572898,55.1982188591066,54.0709825301513,1.43899036024891
"20120427 10:00",1568.55,1573.199,1567.751,1571.85,1567.95541960074,58.7040699941372,54.9133620690578,1.71406856924682
"20120427 11:00",1571.925,1572.2,1570,1571.875,1568.66807058243,58.730219494336,55.6073361463811,1.8901815539291
"20120427 12:00",1571.775,1578.75,1571.025,1575.926,1569.98769411289,62.7531649664585,56.9065777500316,2.33855642044409
"20120427 13:00",1575.975,1576.999,1571.95,1574.4,1570.78993154691,60.4178475348463,57.5449904381797,2.49785458707743
"20120427 14:00",1574.45,1576.225,1570.55,1571.475,1570.91448944747,56.1981616117019,57.3001124697292,2.31927696000366
"20120427 15:00",1571.6,1575.4,1570.6,1572.475,1571.19821863884,57.2720941728979,57.2950182339417,2.23350257874972
"20120427 16:00",1572.4,1576.1,1572.375,1575.4,1571.96217888633,60.2712038121629,57.8361428845274,2.38457864147972
"20120427 17:00",1575.3,1575.3,1572.775,1573.325,1572.20996454336,57.269467721329,57.7331110366731,2.27546908373461
"20120427 18:00",1573.2,1574.424,1571.576,1572.599,1572.28069826275,56.2379258753723,57.4612591891639,2.09244046594517
"20120427 19:00",1572.724,1573.049,1571.027,1571.277,1572.09820766952,54.3611033973627,56.8975944997455,1.80626013908068
"20120427 20:00",1571.399,1571.75,1569.476,1571.5,1571.9894426387,54.6299551748726,56.4852964406777,1.5824424921102
"20120427 21:00",1571.5,1571.5,1571.5,1571.5,1571.90045306803,54.6299551748726,56.1479616650767,1.38935769730301
"20120429 22:00",1571.25,1572.875,1571.25,1571.875,1571.89582523748,55.1225447233721,55.9615222211305,1.25483418777389
"20120429 23:00",1572.124,1574.799,1572.124,1574.676,1572.40131155793,58.6521575816988,56.4507286503247,1.37603394153757
"20120430 00:00",1574.625,1574.625,1573.05,1573.626,1572.62398218376,56.8866807245585,56.5299926638218,1.35101672131032
"20120430 01:00",1573.675,1575.324,1573.577,1574.774,1573.01489451399,58.3302187886889,56.8573065047067,1.40849719081621
"20120430 02:00",1574.701,1574.975,1574.001,1574.799,1573.33927732963,58.3621767680747,57.1309192798645,1.42882260866145
"20120430 03:00",1574.552,1574.874,1574,1574.276,1573.50959054242,57.3928856610688,57.1785495309926,1.37384579488184
"20120430 04:00",1574.325,1574.7,1574,1574.326,1573.65802862562,57.4639782493766,57.2304456616079,1.31368813974814
"20120430 05:00",1574.574,1575.099,1573.686,1574.897,1573.88329614823,58.3003835255238,57.4249798186835,1.2958452324458
"20120430 06:00",1574.95,1576.044,1574.576,1574.8,1574.04996957583,58.0961067731111,57.5470029013067,1.25179969963847
"20120430 07:00",1574.85,1576.825,1572.476,1574.324,1574.09979328931,57.0633071186691,57.4590582135544,1.15630625847575
"20120430 08:00",1574.375,1576.674,1572.677,1574.45,1574.16346723671,57.2749441594237,57.4255829309852,1.07650278023857
"20120430 09:00",1574.301,1574.301,1571.801,1572.399,1573.84265501185,52.8144084603217,56.5871875726827,0.821210979807802
"20120430 10:00",1572.301,1572.899,1571.201,1571.925,1573.49399046424,51.8324055251834,55.7226817458647,0.576969673345275
"20120430 11:00",1571.875,1572.799,1570.625,1571.9,1573.2041740162,51.7789550329279,55.0056405253307,0.384012348243459
"20120430 12:00",1571.825,1572.636,1564.876,1570.849,1572.77596055871,49.5191915201408,54.0081043425689,0.143528573414869
"20120430 13:00",1570.8,1571.647,1565.85,1566.65,1571.66214954803,41.8399187177491,51.795706956238,-0.400527010088581
"20120430 14:00",1566.55,1572.681,1565.925,1569.875,1571.33721326657,48.3193217411388,51.1636369171291,-0.517113143156848
"20120430 15:00",1569.825,1570.749,1565.55,1567.8,1570.69408358174,44.9292859550519,50.0301185603878,-0.774116503252344
"20120430 16:00",1567.85,1573.85,1567.725,1572.6,1571.04061383961,52.9646785546874,50.5636749229877,-0.535376713482947
"20120430 17:00",1572.65,1573.125,1567.55,1568.625,1570.60141132331,46.9881740369452,49.9135838527982,-0.693532510433215
"20120430 18:00",1568.575,1569.175,1567.975,1568.575,1570.23297290089,46.9180752722106,49.368945929055,-0.8029286629735
"20120430 19:00",1568.525,1568.525,1566.726,1567.724,1569.77679600982,45.696717907552,48.7012681069635,-0.943686357486285
"20120430 20:00",1567.477,1567.875,1567.351,1567.526,1569.36756037167,45.4072239230382,48.1023509826135,-1.04868557970167
"20120430 21:00",1567.401,1568.149,1567.401,1568.149,1569.14600394046,46.5291667799036,47.8163174912117,-1.05431382506981
"20120430 22:00",1569.128,1570.6,1566.5,1570.249,1569.34654867856,50.1632347623353,48.2430297223251,-0.858405490254654
"20120430 23:00",1570.299,1572.1,1569.377,1571.824,1569.79699437337,52.7010791333081,49.0535841606856,-0.562154636512332
"20120501 00:00",1571.874,1573.199,1567.751,1569.427,1569.72972266912,48.7260508326394,48.9940326464954,-0.540650244581684
"20120501 01:00",1569.548,1571.275,1567.904,1570.199,1569.81504582019,50.0044822881734,49.1777507631641,-0.448529673159783
"20120501 02:00",1570.249,1571.574,1569.802,1570.251,1569.89431021652,50.0927104237077,49.3441070650811,-0.368067610797198
"20120501 03:00",1570.201,1571.099,1569.752,1570.726,1570.04552654079,50.9254307934178,49.6316204702333,-0.261005779164407
"20120501 04:00",1570.849,1571.549,1566.802,1567.724,1569.6234308061,45.8374113733517,48.9417642708002,-0.437146054809773
"20120501 05:00",1567.774,1569.398,1564.051,1564.351,1568.66480702317,40.9933512930619,47.4965982748478,-0.85200061288856
"20120501 06:00",1564.3,1565.374,1563.726,1565.051,1568.00775120078,42.3248365597172,46.5562779630059,-1.08374142232515
"20120501 07:00",1565.174,1566.024,1562.353,1565.025,1567.46543280063,42.287528778207,45.7801417475879,-1.2387748107426
"20120501 08:00",1564.778,1565.124,1563.425,1565.05,1567.02626320052,42.3389721670377,45.1544745511242,-1.32992463834603
"20120501 09:00",1565.1,1565.123,1558.775,1561.301,1565.98530625497,37.1164725081514,43.6930196342201,-1.69895893257444
"20120501 10:00",1561.374,1566.398,1559.451,1566.076,1566.00179602679,46.0401377864072,44.1197683891632,-1.52930104765142
"20120501 11:00",1566.124,1569.375,1564.875,1565.12,1565.84146947647,44.7032158373893,44.2258497433861,-1.45999930517337
"20120501 12:00",1565.003,1570.498,1564.477,1569.3,1566.47029320802,51.2222861409936,45.4979290884056,-1.02151188013249
