"Timestamp","Open","High","Low","Close"
"20030321 00:00",1089,1108.57,1083.97,1100.01
"20030324 00:00",1088.31,1088.81,1052.61,1054.11
"20030325 00:00",1054.59,1083.7,1049.56,1071.63
"20030326 00:00",1074.12,1083.14,1068.58,1075.59
"20030327 00:00",1072.05,1079.05,1056.96,1067.49
"20030328 00:00",1068.48,1070.98,1051.37,1054.88
"20030331 00:00",1042.18,1044.19,1021.07,1022.06
"20030401 00:00",1026.05,1039.08,1024.52,1028.03
"20030402 00:00",1037.55,1074.67,1036.53,1068.14
"20030403 00:00",1066.11,1086.17,1065.61,1071.6
"20030404 00:00",1073.58,1082.11,1051.46,1054.97
"20030407 00:00",1071.9,1098.99,1055.3,1055.8
"20030408 00:00",1063.31,1070.33,1048.72,1053.23
"20030409 00:00",1049.69,1063.23,1028.57,1030.08
"20030410 00:00",1031.06,1042.07,1024.01,1041.06
"20030411 00:00",1041.54,1057.58,1026.46,1033.48
"20030414 00:00",1033.34,1056.89,1029.82,1052.88
"20030415 00:00",1052.85,1065.36,1044.8,1064.36
"20030416 00:00",1085.41,1085.9,1056.77,1059.78
"20030417 00:00",1060.77,1090.84,1057.75,1088.32
"20030421 00:00",1091.63,1095.62,1076.56,1088.08
"20030422 00:00",1084.55,1109.59,1077.5,1108.09
"20030423 00:00",1109.07,1121.07,1103.02,1118.06
"20030424 00:00",1109.51,1121.01,1101.95,1111.97
"20030425 00:00",1109.44,1113.95,1086.35,1089.34
"20030428 00:00",1087.19,1115.74,1084.68,1109.22
"20030429 00:00",1108.69,1132.24,1108.69,1121.19
"20030430 00:00",1118.16,1121.64,1108.61,1110.1
"20030501 00:00",1108.07,1112.06,1099.02,1102.03
"20030502 00:00",1118.04,1142.06,1114.5,1141.56
"20030505 00:00",1141.41,1158.42,1138.9,1141.37
"20030506 00:00",1139.34,1165.87,1137.83,1155.84
"20030507 00:00",1151.3,1162.31,1135.73,1141.74
"20030508 00:00",1141.22,1141.71,1120.63,1120.63
"20030509 00:00",1124.61,1148.14,1122.6,1145.62
"20030512 00:00",1147.98,1167.98,1137.93,1162.47
"20030513 00:00",1159.94,1168.92,1152.4,1156.39
"20030514 00:00",1154.86,1167.36,1144.31,1153.32
"20030515 00:00",1154.3,1167.3,1152.77,1166.28
"20030516 00:00",1163.25,1168.25,1149.7,1157.7
"20030519 00:00",1152.54,1155.02,1114.43,1116.43
"20030520 00:00",1115.91,1126.91,1105.86,1121.38
"20030521 00:00",1122.36,1122.85,1106.3,1116.31
"20030522 00:00",1114.78,1140.79,1114.28,1131.27
"20030523 00:00",1135.25,1138.75,1127.22,1133.21
"20030526 00:00",1132.06,1136.05,1132.06,1134.03
"20030527 00:00",1131.99,1176.51,1124.46,1174.51
"20030528 00:00",1174.99,1187.49,1167.45,1175.45
"20030529 00:00",1173.92,1200.92,1171.91,1180.89
"20030530 00:00",1183.87,1202.85,1181.84,1198.34
"20030602 00:00",1207.69,1216.67,1181.13,1192.13
"20030603 00:00",1187.1,1203.08,1181.58,1203.08
"20030604 00:00",1207.06,1231.04,1197.02,1225.53
"20030605 00:00",1222,1235.97,1207.46,1235.97
"20030606 00:00",1239.95,1267.44,1209.38,1213.38
"20030609 00:00",1216.22,1223.71,1188.67,1198.17
"20030610 00:00",1199.65,1216.11,1194.62,1215.11
"20030611 00:00",1214.09,1232.05,1199.56,1229.55
"20030612 00:00",1230.03,1240.51,1218,1233.48
"20030613 00:00",1235.46,1235.95,1201.41,1205.91
"20030616 00:00",1204.75,1243.71,1203.24,1243.21
"20030617 00:00",1240.69,1252.17,1229.16,1236.64
"20030618 00:00",1239.12,1256.09,1225.59,1243.57
"20030619 00:00",1248.05,1255.52,1222,1222.5
"20030620 00:00",1225.51,1235.99,1216.53,1220.53
"20030623 00:00",1218.1,1221.6,1189.18,1202.15
"20030624 00:00",1202.66,1211.15,1187.7,1192.2
"20030625 00:00",1195.7,1213.68,1185.73,1187.23
"20030626 00:00",1189.24,1218.2,1188.24,1214.71
"20030627 00:00",1215.72,1229.7,1196.77,1200.76
"20030630 00:00",1205.82,1219.8,1199.34,1203.34
"20030701 00:00",1200.85,1223.83,1176.91,1222.83
"20030702 00:00",1223.33,1246.82,1220.35,1245.32
"20030703 00:00",1245.82,1250.83,1225.87,1226.88
"20030706 00:00",1230.96,1236.95,1230.96,1235.95
"20030707 00:00",1235.45,1283.9,1232.96,1283.9
"20030708 00:00",1282.9,1299.9,1271.44,1292.91
"20030709 00:00",1293.41,1307.41,1284.95,1286.45
"20030710 00:00",1286.95,1287.96,1260.02,1267.51
"20030711 00:00",1266.01,1286.5,1264.02,1280.02
"20030713 00:00",1282.07,1284.07,1281.57,1283.57
"20030714 00:00",1283.07,1317.54,1281.58,1299.08
"20030715 00:00",1298.58,1312.09,1284.62,1310.59
"20030716 00:00",1309.59,1313.1,1276.16,1282.66
"20030717 00:00",1283.16,1283.67,1247.73,1252.23
"20030718 00:00",1252.73,1268.23,1243.26,1258.25
"20030720 00:00",1256.81,1258.81,1255.81,1257.81
"20030721 00:00",1257.31,1261.31,1230.36,1243.36
"20030722 00:00",1242.86,1267.34,1239.87,1262.86
"20030723 00:00",1263.36,1273.37,1245.9,1268.88
