"Timestamp","Open","High","Low","Close"
"20030213 00:00",5.725,5.725,5.725,5.725
"20030314 00:00",5.72,5.76,5.713,5.725
"20030317 00:00",5.711,5.723,5.646,5.668
"20030318 00:00",5.661,5.766,5.656,5.731
"20030319 00:00",5.696,5.721,5.676,5.686
"20030320 00:00",5.677,5.746,5.677,5.734
"20030321 00:00",5.737,5.782,5.722,5.749
"20030324 00:00",5.727,5.727,5.683,5.685
"20030325 00:00",5.708,5.725,5.685,5.725
"20030326 00:00",5.723,5.735,5.631,5.676
"20030327 00:00",5.708,5.803,5.696,5.788
"20030328 00:00",5.778,5.793,5.746,5.793
"20030331 00:00",5.759,5.787,5.689,5.734
"20030401 00:00",5.759,5.774,5.72,5.729
"20030402 00:00",5.745,5.869,5.745,5.855
"20030403 00:00",5.86,5.907,5.815,5.837
"20030404 00:00",5.83,5.91,5.82,5.905
"20030407 00:00",5.941,6.01,5.941,5.981
"20030408 00:00",5.961,6.016,5.956,5.996
"20030409 00:00",5.989,6.066,5.976,6.031
"20030410 00:00",6.041,6.071,5.986,6.004
"20030411 00:00",5.987,6.007,5.957,5.992
"20030414 00:00",5.997,6.082,5.947,6.062
"20030415 00:00",6.053,6.102,6.038,6.097
"20030416 00:00",6.105,6.123,6.075,6.1
"20030417 00:00",6.105,6.25,6.09,6.235
"20030421 00:00",6.204,6.204,6.144,6.179
"20030422 00:00",6.189,6.234,6.109,6.129
"20030423 00:00",6.109,6.114,6.046,6.064
"20030424 00:00",6.059,6.129,6.023,6.064
"20030425 00:00",6.038,6.043,5.988,6.028
"20030428 00:00",6.048,6.11,6.038,6.098
"20030429 00:00",6.093,6.266,6.073,6.253
"20030430 00:00",6.235,6.351,6.223,6.283
"20030501 00:00",6.293,6.383,6.283,6.328
"20030502 00:00",6.308,6.343,6.268,6.323
"20030505 00:00",6.337,6.367,6.257,6.292
"20030506 00:00",6.227,6.312,6.212,6.312
"20030507 00:00",6.302,6.347,6.264,6.287
"20030508 00:00",6.227,6.292,6.171,6.267
"20030509 00:00",6.256,6.412,6.246,6.392
"20030512 00:00",6.341,6.506,6.341,6.436
"20030513 00:00",6.431,6.476,6.401,6.471
"20030514 00:00",6.461,6.518,6.401,6.501
"20030515 00:00",6.511,6.536,6.461,6.486
"20030516 00:00",6.481,6.516,6.42,6.43
"20030519 00:00",6.372,6.43,6.36,6.377
"20030520 00:00",6.375,6.59,6.37,6.435
"20030521 00:00",6.425,6.475,6.384,6.41
"20030522 00:00",6.389,6.389,6.269,6.279
"20030523 00:00",6.276,6.319,6.234,6.289
"20030527 00:00",6.238,6.343,6.198,6.308
"20030528 00:00",6.303,6.333,6.233,6.238
"20030529 00:00",6.218,6.328,6.193,6.303
"20030530 00:00",6.328,6.373,6.238,6.248
"20030602 00:00",6.222,6.252,6.127,6.127
