"Timestamp","Open","High","Low","Close"
"20030115 00:00",33.2,33.2,33.2,33.2
"20030122 00:00",33.23,33.601,32.798,32.968
"20030123 00:00",32.894,33.044,32.039,32.39
"20030124 00:00",32.386,33.44,32.236,33.42
"20030127 00:00",33.124,33.244,32.32,32.401
"20030128 00:00",32.818,32.918,32.517,32.767
"20030129 00:00",32.843,33.996,32.813,33.795
"20030130 00:00",33.661,34.112,33.51,33.961
"20030131 00:00",33.605,33.956,33.344,33.604
"20030203 00:00",33.138,33.328,32.737,32.867
"20030204 00:00",33.003,33.834,32.983,33.654
"20030205 00:00",34.101,34.281,33.178,34.009
"20030206 00:00",34.346,34.526,33.975,34.225
"20030207 00:00",34.671,35.322,34.42,35.221
"20030210 00:00",35.086,35.126,34.354,34.554
"20030211 00:00",34.62,35.7,34.52,35.5
"20030212 00:00",35.726,35.945,35.145,35.795
"20030213 00:00",36.211,36.441,35.82,36.44
"20030214 00:00",36.435,36.935,35.915,36.835
"20030218 00:00",36.8,37.473,36.747,37.463
"20030219 00:00",37.03,37.729,36.893,37.544
"20030220 00:00",37.418,37.459,36.401,36.449
"20030221 00:00",36.922,37.707,36.87,37.308
"20030224 00:00",37.355,38.125,37.355,38.094
"20030225 00:00",38.644,38.664,37.382,37.59
"20030226 00:00",37.692,39.5,37.64,39.239
"20030227 00:00",39.754,41.515,38.449,38.6
"20030228 00:00",38.856,38.959,37.609,37.963
"20030303 00:00",37.086,37.311,36.431,36.888
"20030304 00:00",37.525,38.269,37.319,37.945
"20030305 00:00",38.158,38.311,36.87,37.683
"20030306 00:00",37.886,38.134,37.523,37.905
"20030307 00:00",37.718,38.729,37.666,38.677
"20030310 00:00",38.386,38.452,37.712,37.935
"20030311 00:00",37.912,37.992,36.887,37.29
"20030312 00:00",37.014,38.497,36.932,38.371
"20030313 00:00",38.144,38.286,36.148,36.552
"20030314 00:00",35.287,35.884,34.174,35.68
"20030317 00:00",36.209,36.61,34.194,35.141
"20030318 00:00",34.95,36.403,34.637,34.98
"20030319 00:00",34.683,35.366,33.844,34.018
"20030320 00:00",33.274,34.825,31.971,32.451
"20030321 00:00",31.566,31.851,30.228,30.966
"20030324 00:00",31.783,32.782,31.328,32.495
"20030325 00:00",32.889,33.561,31.395,31.564
"20030326 00:00",32.072,32.618,31.78,32.215
"20030327 00:00",33.278,34.146,32.882,34.035
"20030328 00:00",33.803,34.403,33.294,33.609
"20030331 00:00",33.862,34.22,33.376,34.154
"20030401 00:00",33.442,33.551,32.381,32.593
"20030402 00:00",31.496,31.658,30.746,31.198
"20030403 00:00",30.762,31.787,30.762,31.476
"20030404 00:00",30.413,31.037,30.218,30.929
"20030407 00:00",29.758,30.659,29.597,29.894
"20030408 00:00",29.789,30.203,29.465,29.765
"20030409 00:00",29.608,30.645,29.39,30.557
"20030410 00:00",30.06,30.372,28.771,28.939
"20030411 00:00",28.565,29.591,28.404,29.57
"20030414 00:00",28.766,29.707,28.766,29.623
"20030415 00:00",29.467,30.424,29.416,30.217
"20030416 00:00",30.214,30.468,29.28,29.932
"20030417 00:00",29.15,30.117,28.919,30.012
"20030421 00:00",29.591,30.265,29.539,30.052
"20030422 00:00",29.654,29.757,28.97,29.126
"20030423 00:00",28.989,28.989,27.375,27.683
"20030424 00:00",27.755,27.852,26.559,27.675
"20030425 00:00",27.405,28.026,26.933,27.139
"20030428 00:00",26.723,26.872,26.174,26.252
"20030429 00:00",25.964,26.324,25.809,25.978
"20030430 00:00",26.257,27.26,25.978,26.538
"20030501 00:00",26.713,27.124,26.604,26.789
"20030502 00:00",27.138,27.24,26.057,26.382
"20030505 00:00",26.309,27.119,26.206,27.017
"20030506 00:00",26.731,27.036,25.959,26.265
"20030507 00:00",26.133,26.844,26.061,26.737
"20030508 00:00",26.605,27.821,26.554,27.412
"20030509 00:00",27.838,28.41,27.736,28.115
"20030512 00:00",28.389,28.782,27.511,27.714
"20030513 00:00",27.884,28.836,27.833,28.786
"20030514 00:00",28.834,29.604,28.196,29.421
"20030515 00:00",29.317,29.72,28.705,28.927
"20030516 00:00",28.803,29.369,28.793,29.268
"20030519 00:00",29.1,29.353,28.339,28.643
"20030520 00:00",28.583,28.986,28.329,28.733
"20030521 00:00",28.977,29.957,28.775,29.369
"20030522 00:00",28.966,29.339,28.663,29.197
"20030523 00:00",29.612,29.763,29.409,29.489
"20030527 00:00",29.719,29.82,28.81,29.626
"20030528 00:00",29.406,29.456,28.778,28.818
"20030529 00:00",28.689,29.645,28.517,29.322
"20030530 00:00",29.484,29.885,29.252,29.765
"20030602 00:00",30.005,31.051,29.955,30.929
"20030603 00:00",30.698,31,30.527,30.867
"20030604 00:00",30.878,31.19,30.061,30.232
"20030605 00:00",30.102,30.975,30.001,30.874
"20030606 00:00",31.066,31.466,30.795,31.416
"20030609 00:00",31.051,31.984,31.031,31.561
"20030610 00:00",31.321,31.891,31.019,31.85
"20030611 00:00",31.76,32.613,31.73,32.471
"20030612 00:00",32.15,32.35,31.446,31.596
"20030613 00:00",31.065,31.085,29.931,30.682
"20030616 00:00",30.92,31.3,30.478,31.228
"20030617 00:00",30.938,31.238,30.838,31.106
"20030618 00:00",31.07,31.07,29.95,30.529
"20030619 00:00",30.114,30.444,29.793,30.157
"20030620 00:00",30.485,31.321,30.379,31.162
"20030623 00:00",30.724,31.005,30.375,30.661
"20030624 00:00",30.534,30.586,29.98,30.208
"20030625 00:00",30.375,31.541,30.322,31.414
"20030626 00:00",31.316,31.316,30.21,30.364
"20030627 00:00",30.373,30.834,30.142,30.572
"20030630 00:00",30.473,31.451,30.472,31.346
"20030701 00:00",31.221,31.655,30.832,31.621
"20030702 00:00",31.548,31.815,30.985,31.214
"20030703 00:00",31.223,32.05,31.182,31.495
"20030707 00:00",31.004,31.086,30.633,30.797
"20030708 00:00",30.796,31.161,30.272,30.999
"20030709 00:00",30.968,31.798,30.709,31.711
"20030710 00:00",31.68,32.288,31.498,31.635
"20030711 00:00",31.696,32.384,31.533,31.918
"20030713 00:00",31.643,31.663,31.541,31.621
"20030714 00:00",31.59,31.889,31.098,31.646
"20030715 00:00",31.656,32.151,31.339,32.037
"20030716 00:00",32.025,32.407,31.255,31.525
"20030717 00:00",31.524,31.895,31.287,31.446
"20030718 00:00",31.476,31.849,31.208,31.746
"20030720 00:00",31.719,31.81,31.719,31.81
"20030721 00:00",31.82,31.839,30.958,31.349
"20030722 00:00",31.339,31.377,29.945,30.216
"20030723 00:00",30.175,30.421,29.754,30.327
"20030724 00:00",30.347,30.951,29.957,30.867
