"Timestamp","Open","High","Low","Close"
"20120420 00:00",1650,1650,1650,1650
"20120421 00:00",1650,1650,1650,1650
"20120423 00:00",1554,1561.2,1553.5,1559.15
"20120424 00:00",1559.1,1560.975,1544.128,1548.151
"20120425 00:00",1548.199,1558.15,1541.851,1554.7
"20120426 00:00",1554.75,1572.223,1552.678,1567.128
"20120427 00:00",1567.248,1578.75,1562.2,1571.5
"20120429 00:00",1571.25,1574.799,1571.25,1574.676
"20120430 00:00",1574.625,1576.825,1564.876,1571.824
"20120501 00:00",1571.874,1578.173,1558.775,1572.075
"20120502 00:00",1571.95,1572.7,1558.35,1560.5
"20120503 00:00",1560.426,1563.549,1529.076,1535.7
"20120504 00:00",1535.775,1539.599,1519.652,1524.8
"20120506 00:00",1522.9,1523.224,1514.252,1521.375
"20120507 00:00",1521.425,1531.295,1511.125,1522.774
"20120508 00:00",1522.825,1533.073,1500.076,1508.375
"20120509 00:00",1508.425,1515.869,1489.65,1497.727
"20120510 00:00",1497.676,1509.045,1485.15,1486.8
"20120511 00:00",1486.55,1487.325,1459.177,1464
"20120512 00:00",1464,1464,1464,1464
"20120513 00:00",1463.5,1463.5,1463.5,1463.5
"20120515 00:00",1430,1436.999,1429,1434.691
"20120516 00:00",1434.766,1443.011,1420.668,1438.329
"20120517 00:00",1438.382,1459.469,1435.768,1452.368
"20120518 00:00",1452.233,1465.415,1443.436,1454.5
"20120520 00:00",1455.5,1459.512,1453.75,1458.975
"20120521 00:00",1458.876,1473.541,1457.156,1472.313
"20120522 00:00",1472.439,1473.182,1441.976,1444.154
"20120523 00:00",1444.095,1444.095,1406.315,1422.35
"20120524 00:00",1422.3,1434.718,1410.699,1420.209
"20120525 00:00",1420.334,1433.882,1409.974,1432.215
"20120527 00:00",1429.5,1435.744,1427.924,1430.586
"20120528 00:00",1430.835,1446.25,1429.233,1437.147
"20120529 00:00",1436.879,1447.738,1422.815,1427.996
"20120530 00:00",1428.055,1431.461,1386.077,1406.248
"20120531 00:00",1406.307,1419.392,1391.704,1406.505
"20120601 00:00",1406.405,1447.332,1388.107,1443.582
"20120602 00:00",1443.582,1443.582,1443.582,1443.582
"20120603 00:00",1443.582,1445.074,1436.305,1439.519
"20120604 00:00",1439.334,1448.625,1422.109,1431.452
"20120605 00:00",1431.739,1448.741,1429.565,1440.433
"20120606 00:00",1440.339,1470.914,1432.752,1464.721
"20120607 00:00",1464.453,1471.194,1436.33,1445.1
"20120608 00:00",1444.85,1446.39,1413.801,1433.5
"20120610 00:00",1434,1447.707,1433.5,1446.37
"20120611 00:00",1446.245,1457.758,1438.635,1438.789
"20120612 00:00",1438.588,1457.553,1424.365,1452.095
"20120613 00:00",1452.18,1470.6,1447.671,1460.851
"20120614 00:00",1460.726,1497.13,1459.299,1492.935
"20120615 00:00",1493.059,1500.271,1482.186,1483.5
"20120617 00:00",1483.5,1494.26,1481.098,1494.26
"20120618 00:00",1494.452,1506.488,1480.585,1486.219
"20120619 00:00",1486.309,1493.719,1477.89,1486.334
"20120620 00:00",1486.163,1488.718,1453.621,1459.576
"20120621 00:00",1459.482,1463.092,1432.506,1437.454
"20120622 00:00",1437.366,1440.596,1423.252,1438.299
"20120624 00:00",1431.895,1437.734,1431.2,1435.579
"20120625 00:00",1435.759,1446.176,1428.442,1441.831
"20120626 00:00",1441.976,1443.442,1425.606,1428.026
"20120627 00:00",1427.943,1428.517,1404.033,1413.753
"20120628 00:00",1413.852,1418.994,1384.84,1388.157
"20120629 00:00",1388.252,1451.155,1382.417,1447.3
"20120701 00:00",1447.3,1448.508,1443.729,1444.921
"20120702 00:00",1445.023,1455.809,1431.759,1448.062
"20120703 00:00",1447.936,1490.107,1446.368,1484.435
"20120704 00:00",1484.527,1488.965,1470.918,1482.217
"20120705 00:00",1482.306,1491.635,1464.39,1477.22
"20120706 00:00",1477.127,1478.212,1439.231,1445
"20120708 00:00",1445,1445,1440.03,1440.372
"20120709 00:00",1440.263,1449.457,1433.586,1445.122
"20120710 00:00",1445.207,1452.65,1421.713,1427.05
"20120711 00:00",1427.132,1435.006,1420.118,1426.928
"20120712 00:00",1426.838,1428.813,1405.153,1417.971
"20120713 00:00",1417.883,1433.934,1416.548,1430.371
"20120715 00:00",1430.371,1438.849,1428.75,1435.5
"20120716 00:00",1436.032,1436.032,1413.69,1420.366
"20120717 00:00",1420.449,1431.054,1406.25,1418.502
"20120718 00:00",1418.419,1418.759,1402.493,1407.161
"20120719 00:00",1407.248,1425.422,1405.563,1420.267
"20120720 00:00",1420.183,1420.183,1406.578,1414.119
"20120722 00:00",1413.5,1413.5,1407.089,1407.089
"20120723 00:00",1406.946,1406.946,1388.134,1399.2
"20120724 00:00",1399.282,1408.764,1379.534,1387.028
"20120725 00:00",1386.94,1405.387,1382.565,1397.987
"20120726 00:00",1398.1,1414.234,1395.368,1404.458
"20120727 00:00",1404.611,1419.122,1404.611,1411
"20120729 00:00",1411,1413.542,1410.003,1410.1
"20120730 00:00",1410.209,1419.1,1397.388,1415.355
"20120731 00:00",1415.253,1433.566,1408.705,1409.282
"20120801 00:00",1409.188,1417.545,1386.834,1401.786
"20120802 00:00",1401.706,1409.207,1382.836,1388.035
"20120803 00:00",1387.93,1419.523,1383.653,1405.968
"20120805 00:00",1405.968,1407.519,1404.139,1406.97
"20120806 00:00",1407.077,1408.422,1392.463,1400.558
"20120807 00:00",1400.473,1413.974,1399.613,1408.748
"20120808 00:00",1408.658,1411.606,1398.541,1409.325
"20120809 00:00",1409.055,1418.871,1408.448,1412.951
"20120810 00:00",1412.866,1412.866,1392.59,1400.5
"20120812 00:00",1400.5,1402.927,1399.648,1400.418
