"Timestamp","Open","High","Low","Close"
"20030129 20:00",5.66,5.66,5.66,5.66
"20030130 15:00",5.67,5.72,5.57,5.59
"20030130 16:00",5.56,5.59,5.46,5.53
"20030130 17:00",5.535,5.58,5.515,5.56
"20030130 18:00",5.555,5.565,5.51,5.565
"20030130 19:00",5.56,5.58,5.54,5.57
"20030131 15:00",5.541,5.59,5.501,5.576
"20030131 16:00",5.571,5.67,5.551,5.635
"20030131 17:00",5.63,5.655,5.591,5.62
"20030131 18:00",5.63,5.63,5.581,5.596
"20030131 19:00",5.601,5.63,5.576,5.601
"20030203 15:00",5.497,5.711,5.477,5.681
"20030203 16:00",5.671,5.781,5.632,5.761
"20030203 17:00",5.771,5.801,5.706,5.721
"20030203 18:00",5.726,5.781,5.691,5.746
"20030203 19:00",5.751,5.781,5.736,5.761
"20030204 15:00",5.802,5.852,5.692,5.852
"20030204 16:00",5.832,5.872,5.692,5.722
"20030204 17:00",5.732,5.772,5.712,5.752
"20030204 18:00",5.747,5.767,5.727,5.767
"20030204 19:00",5.752,5.782,5.727,5.747
"20030205 15:00",5.767,5.772,5.652,5.712
"20030205 16:00",5.707,5.707,5.612,5.652
"20030205 17:00",5.657,5.667,5.552,5.582
"20030205 18:00",5.592,5.637,5.572,5.617
"20030205 19:00",5.622,5.642,5.602,5.632
"20030206 15:00",5.673,5.742,5.633,5.703
"20030206 16:00",5.713,5.902,5.713,5.892
"20030206 17:00",5.902,5.902,5.832,5.852
"20030206 18:00",5.857,5.882,5.827,5.857
"20030206 19:00",5.852,5.882,5.802,5.822
"20030207 15:00",5.873,5.983,5.863,5.983
"20030207 16:00",5.978,6.003,5.908,5.958
"20030207 17:00",5.963,6.043,5.943,6.013
"20030207 18:00",6.008,6.043,5.983,6.038
"20030207 19:00",6.033,6.058,5.998,6.038
"20030210 15:00",5.974,6.024,5.914,6.014
"20030210 16:00",6.024,6.024,5.949,5.964
"20030210 17:00",5.969,5.979,5.919,5.949
"20030210 18:00",5.954,5.974,5.864,5.874
"20030210 19:00",5.879,5.884,5.824,5.859
"20030211 15:00",5.844,5.974,5.809,5.964
"20030211 16:00",5.954,6.064,5.934,5.969
"20030211 17:00",5.964,6.004,5.934,5.989
"20030211 18:00",5.994,6.014,5.954,5.989
"20030211 19:00",5.984,6.029,5.964,5.964
"20030212 15:00",5.92,5.925,5.835,5.86
"20030212 16:00",5.865,5.87,5.715,5.745
"20030212 17:00",5.75,5.815,5.75,5.785
"20030212 18:00",5.795,5.835,5.77,5.78
"20030212 19:00",5.785,5.8,5.755,5.78
"20030213 15:00",5.735,5.955,5.675,5.905
"20030213 16:00",5.925,5.93,5.825,5.85
"20030213 17:00",5.86,5.88,5.665,5.735
"20030213 18:00",5.725,5.755,5.645,5.74
"20030213 19:00",5.745,5.76,5.725,5.74
"20030214 15:00",5.805,5.845,5.695,5.735
"20030214 16:00",5.745,5.835,5.71,5.805
"20030214 17:00",5.8,5.865,5.79,5.845
"20030218 15:00",5.937,6.017,5.927,5.977
"20030218 16:00",5.987,5.987,5.947,5.957
"20030218 17:00",5.962,5.962,5.877,5.887
"20030218 18:00",5.892,5.942,5.872,5.922
"20030218 19:00",5.912,5.932,5.902,5.907
"20030219 15:00",5.957,6.037,5.932,6.037
"20030219 16:00",6.042,6.187,6.017,6.147
"20030219 17:00",6.157,6.197,6.137,6.137
"20030219 18:00",6.147,6.187,6.127,6.162
"20030219 19:00",6.167,6.197,6.122,6.132
"20030220 15:00",6.147,6.217,6.088,6.177
"20030220 16:00",6.168,6.208,6.078,6.173
"20030220 17:00",6.178,6.188,6.128,6.138
"20030220 18:00",6.128,6.183,6.128,6.173
"20030220 19:00",6.178,6.188,6.128,6.168
"20030221 15:00",6.178,6.698,6.178,6.488
"20030221 16:00",6.478,6.598,6.438,6.578
"20030221 17:00",6.548,6.603,6.518,6.558
"20030221 18:00",6.568,6.598,6.538,6.578
"20030221 19:00",6.583,6.638,6.548,6.618
"20030224 15:00",7.999,8.099,7.399,7.749
"20030224 16:00",7.799,8.149,7.649,8.099
"20030224 17:00",8.079,8.449,7.999,8.379
"20030224 18:00",8.369,9.049,8.329,9.019
"20030224 19:00",9.009,9.149,8.649,9.149
"20030225 15:00",9.999,10.109,8.599,9.099
"20030225 16:00",9.299,9.799,8.699,9.549
"20030225 17:00",9.499,9.699,8.999,9.099
"20030225 18:00",9.149,9.699,9.099,9.499
"20030225 19:00",9.599,9.799,9.399,9.599
"20030226 15:00",8.4,9.2,8.35,8.9
"20030226 16:00",8.85,9,8.3,8.45
"20030226 17:00",8.4,8.6,8.2,8.45
"20030226 18:00",8.4,8.95,8.4,8.75
"20030226 19:00",8.8,9.55,8.6,9.45
"20030227 15:00",9.384,10.107,9.384,10.041
"20030227 16:00",10.014,10.172,9.775,9.931
"20030227 17:00",9.97,9.97,9.571,9.755
"20030227 18:00",9.768,9.936,9.729,9.936
"20030227 19:00",9.949,9.989,9.816,9.828
"20030228 15:00",10.797,11.122,10.466,10.662
"20030228 16:00",10.727,10.854,10.333,10.527
"20030228 17:00",10.592,10.788,10.46,10.705
"20030228 18:00",10.718,10.849,10.585,10.779
"20030228 19:00",10.753,10.974,10.516,10.581
"20030303 15:00",9.529,9.657,9.273,9.424
"20030303 16:00",9.437,9.589,9.205,9.293
"20030303 17:00",9.268,9.419,9.226,9.226
"20030303 18:00",9.264,9.338,9.013,9.07
"20030303 19:00",9.095,9.157,9.007,9.081
"20030304 15:00",8.895,9.458,8.845,9.319
"20030304 16:00",9.306,9.493,9.281,9.416
"20030304 17:00",9.403,9.428,9.198,9.198
"20030304 18:00",9.236,9.236,8.732,8.88
"20030304 19:00",8.893,8.893,8.716,8.841
"20030305 15:00",8.671,8.694,8.407,8.543
"20030305 16:00",8.555,8.592,8.405,8.489
"20030305 17:00",8.502,8.61,8.462,8.61
