"Timestamp","Open","High","Low","Close"
"20030115 19:00",33.2,33.2,33.2,33.2
"20030122 15:00",33.23,33.401,32.798,33.029
"20030122 16:00",33.069,33.501,33.049,33.32
"20030122 17:00",33.33,33.601,33.25,33.551
"20030122 18:00",33.531,33.531,33.149,33.149
"20030122 19:00",33.199,33.199,32.898,32.968
"20030123 15:00",32.894,33.044,32.592,32.622
"20030123 16:00",32.642,32.723,32.14,32.22
"20030123 17:00",32.2,32.491,32.039,32.31
"20030123 18:00",32.32,32.441,32.19,32.391
"20030123 19:00",32.37,32.561,32.29,32.39
"20030124 15:00",32.386,32.788,32.236,32.667
"20030124 16:00",32.687,32.958,32.637,32.918
"20030124 17:00",32.938,33.34,32.808,33.29
"20030124 18:00",33.259,33.39,33.139,33.219
"20030124 19:00",33.239,33.44,33.189,33.42
"20030127 15:00",33.124,33.194,32.773,32.853
"20030127 16:00",32.833,33.244,32.521,32.572
"20030127 17:00",32.592,32.702,32.371,32.571
"20030127 18:00",32.602,32.722,32.501,32.621
"20030127 19:00",32.601,32.722,32.32,32.401
"20030128 15:00",32.818,32.918,32.517,32.748
"20030128 16:00",32.717,32.748,32.517,32.657
"20030128 17:00",32.647,32.697,32.536,32.617
"20030128 18:00",32.587,32.867,32.586,32.697
"20030128 19:00",32.717,32.897,32.667,32.767
"20030129 15:00",32.843,33.314,32.813,33.264
"20030129 16:00",33.314,33.655,33.264,33.535
"20030129 17:00",33.595,33.615,33.414,33.525
"20030129 18:00",33.515,33.966,33.414,33.946
"20030129 19:00",33.966,33.996,33.615,33.795
"20030130 15:00",33.661,34.112,33.56,33.761
"20030130 16:00",33.731,33.811,33.51,33.75
"20030130 17:00",33.72,33.931,33.66,33.831
"20030130 18:00",33.81,33.861,33.73,33.86
"20030130 19:00",33.87,34.041,33.78,33.961
"20030131 15:00",33.605,33.685,33.344,33.485
"20030131 16:00",33.465,33.956,33.424,33.836
"20030131 17:00",33.805,33.926,33.705,33.906
"20030131 18:00",33.875,33.906,33.675,33.785
"20030131 19:00",33.755,33.955,33.454,33.604
"20030203 15:00",33.138,33.169,32.737,32.888
"20030203 16:00",32.938,33.228,32.787,33.108
"20030203 17:00",33.138,33.328,33.078,33.208
"20030203 18:00",33.198,33.218,33.038,33.118
"20030203 19:00",33.088,33.168,32.787,32.867
"20030204 15:00",33.003,33.374,32.983,33.183
"20030204 16:00",33.173,33.634,33.133,33.484
"20030204 17:00",33.504,33.704,33.434,33.634
"20030204 18:00",33.614,33.734,33.483,33.724
"20030204 19:00",33.704,33.834,33.614,33.654
"20030205 15:00",34.101,34.281,33.93,34.1
"20030205 16:00",34.08,34.231,33.93,34.1
"20030205 17:00",34.13,34.13,33.178,33.328
"20030205 18:00",33.378,33.629,33.228,33.578
"20030205 19:00",33.639,34.08,33.629,34.009
"20030206 15:00",34.346,34.526,33.975,34.396
"20030206 16:00",34.406,34.526,34.225,34.305
"20030206 17:00",34.325,34.455,34.275,34.355
"20030206 18:00",34.345,34.455,34.255,34.295
"20030206 19:00",34.305,34.475,34.174,34.225
"20030207 15:00",34.671,34.771,34.521,34.591
"20030207 16:00",34.601,34.751,34.42,34.671
"20030207 17:00",34.711,35.272,34.651,35.041
"20030207 18:00",35.021,35.272,34.971,35.071
"20030207 19:00",35.121,35.322,35.001,35.221
"20030210 15:00",35.086,35.126,34.605,34.805
"20030210 16:00",34.815,35.005,34.755,34.835
"20030210 17:00",34.855,34.875,34.354,34.584
"20030210 18:00",34.574,34.735,34.454,34.554
"20030210 19:00",34.574,34.654,34.394,34.554
"20030211 15:00",34.62,35.15,34.52,35.1
"20030211 16:00",35.12,35.501,35.1,35.3
"20030211 17:00",35.26,35.48,35.2,35.45
"20030211 18:00",35.4,35.55,35.25,35.43
"20030211 19:00",35.42,35.7,35.35,35.5
"20030212 15:00",35.726,35.746,35.145,35.625
"20030212 16:00",35.595,35.665,35.145,35.325
"20030212 17:00",35.295,35.725,35.285,35.675
"20030212 18:00",35.685,35.945,35.645,35.775
"20030212 19:00",35.795,35.925,35.645,35.795
"20030213 15:00",36.211,36.441,36.041,36.291
"20030213 16:00",36.311,36.441,36.19,36.2
"20030213 17:00",36.23,36.24,35.82,36.04
"20030213 18:00",36.01,36.34,35.89,36.29
"20030213 19:00",36.34,36.44,36.14,36.44
"20030214 15:00",36.435,36.486,35.935,36.085
"20030214 16:00",36.105,36.535,35.915,36.405
"20030214 17:00",36.365,36.935,36.315,36.835
"20030218 15:00",36.8,37.379,36.747,37.061
"20030218 16:00",37.114,37.238,36.902,37.195
"20030218 17:00",37.174,37.257,37.035,37.077
"20030218 18:00",37.108,37.254,37.087,37.158
"20030218 19:00",37.169,37.473,37.158,37.463
