"Timestamp","Open","High","Low","Close"
"20060318 20:00",554,554,553.95,553.95
"20060319 20:00",554,554,553.95,553.95
"20060319 21:00",554.05,554.05,554.05,554.05
"20060320 00:00",554.05,555.95,553.65,555.45
"20060320 01:00",555.45,556.05,555.45,555.85
"20060320 02:00",555.85,555.85,555.65,555.65
"20060320 03:00",555.65,555.85,555.65,555.75
"20060320 04:00",555.75,555.75,555.15,555.45
"20060320 05:00",555.45,555.95,555.35,555.95
"20060320 06:00",556.05,556.4,556.05,556.2
"20060320 07:00",556.3,556.4,555.85,556.15
"20060320 08:00",556.15,556.25,555.45,555.45
"20060320 09:00",555.35,555.45,554.05,554.05
"20060320 10:00",553.95,555.45,553.85,555.25
"20060320 11:00",555.05,555.05,553.75,553.75
"20060320 12:00",553.65,553.95,553.55,553.75
"20060320 13:00",553.65,554.75,550.05,551.25
"20060320 14:00",551.35,555.65,551.15,555.55
"20060320 15:00",555.45,556.45,553.55,554.45
"20060320 16:00",554.35,556.5,553.85,556.05
"20060320 17:00",555.85,556.3,553.9,554.2
"20060320 18:00",554.1,555.9,554.1,555.6
"20060320 19:00",555.3,555.3,553.4,554
"20060320 20:00",554.3,554.7,554.1,554.4
"20060320 21:00",554.2,555,554.1,555
"20060320 22:00",555,555.5,554.1,554.1
"20060320 23:00",554.8,555.2,554.35,554.35
"20060321 00:00",554.25,554.35,553.6,554.1
"20060321 01:00",554.4,554.4,553.9,553.9
"20060321 02:00",554.2,554.2,553.3,553.4
"20060321 03:00",553.3,553.4,553.3,553.3
"20060321 04:00",553.8,553.8,553.6,553.8
"20060321 05:00",553.7,553.8,553.7,553.8
"20060321 06:00",553.8,553.9,553.65,553.75
"20060321 07:00",553.85,553.95,553.45,553.45
"20060321 08:00",553.45,553.55,550.65,552.75
"20060321 09:00",552.55,554.05,551.85,553.85
"20060321 10:00",553.95,554.25,553.05,553.15
"20060321 11:00",553.15,553.15,552.35,552.35
"20060321 12:00",552.35,553.45,552.25,553.15
"20060321 13:00",553.05,553.05,548.55,549.55
"20060321 14:00",549.35,551.55,548.15,548.45
"20060321 15:00",548.55,551.35,547.05,549.85
"20060321 16:00",550.05,555.15,549.55,553.1
"20060321 17:00",553.2,555.1,550.9,551
"20060321 18:00",550.9,553.2,549.5,552.7
"20060321 19:00",552.6,552.7,552,552.4
"20060321 20:00",552.4,552.4,551.3,551.3
