"Timestamp","Open","High","Low","Close"
"20030224 17:00",0.7865,0.7865,0.7865,0.7865
"20030328 13:00",0.78704,0.78704,0.77888,0.77995
"20030328 14:00",0.78049,0.78316,0.77941,0.78316
"20030328 15:00",0.78262,0.78584,0.78207,0.78584
"20030328 16:00",0.78529,0.78907,0.7842,0.78905
"20030328 17:00",0.78796,0.7901,0.78633,0.79009
"20030331 13:00",0.78227,0.78494,0.78169,0.78223
"20030331 14:00",0.78277,0.78277,0.77788,0.77948
"20030331 15:00",0.77894,0.77948,0.77404,0.7762
"20030331 16:00",0.77566,0.7762,0.77401,0.77616
"20030331 17:00",0.77561,0.77615,0.76909,0.77179
"20030401 13:00",0.77798,0.78011,0.77634,0.77902
"20030401 14:00",0.77794,0.77956,0.77629,0.77736
"20030401 15:00",0.7779,0.78272,0.77628,0.7811
"20030401 16:00",0.78164,0.7827,0.78106,0.78214
"20030401 17:00",0.78267,0.78427,0.78155,0.78209
"20030402 13:00",0.77694,0.77962,0.7764,0.7769
"20030402 14:00",0.77744,0.78226,0.7769,0.7801
"20030402 15:00",0.77956,0.78009,0.77197,0.77304
"20030402 16:00",0.77358,0.77466,0.77246,0.77354
"20030402 17:00",0.773,0.77458,0.77083,0.77458
"20030403 13:00",0.76998,0.77212,0.7678,0.77048
"20030403 14:00",0.76994,0.77102,0.76506,0.76559
"20030403 15:00",0.76613,0.76772,0.76397,0.76663
"20030403 16:00",0.76609,0.76877,0.76551,0.76605
"20030403 17:00",0.76658,0.76816,0.76493,0.766
"20030404 13:00",0.77325,0.77591,0.77108,0.77429
"20030404 14:00",0.77483,0.77536,0.76888,0.7721
"20030404 15:00",0.77156,0.77209,0.7667,0.7699
"20030404 16:00",0.76936,0.77416,0.76775,0.77201
"20030404 17:00",0.77308,0.77308,0.76982,0.77143
"20030407 12:00",0.78251,0.78358,0.78036,0.78301
"20030407 13:00",0.78355,0.78462,0.78244,0.7835
"20030407 14:00",0.78404,0.78723,0.78185,0.78239
"20030407 15:00",0.78185,0.78503,0.77967,0.77967
"20030407 16:00",0.77913,0.7807,0.77429,0.78016
"20030408 12:00",0.76916,0.77288,0.76809,0.7718
"20030408 13:00",0.77127,0.77232,0.77016,0.77069
"20030408 14:00",0.77015,0.77439,0.76908,0.77386
"20030408 15:00",0.77439,0.77546,0.77007,0.77167
"20030408 16:00",0.77221,0.77274,0.77004,0.7727
"20030409 12:00",0.76439,0.76492,0.76223,0.7649
"20030409 13:00",0.76543,0.76809,0.76486,0.76699
"20030409 14:00",0.76752,0.77071,0.76699,0.76748
"20030409 15:00",0.76694,0.77118,0.76586,0.76904
"20030409 16:00",0.7685,0.77115,0.76582,0.76793
"20030410 12:00",0.76764,0.76922,0.76603,0.76814
"20030410 13:00",0.7676,0.76866,0.76597,0.76756
"20030410 14:00",0.76702,0.76702,0.76379,0.76539
"20030410 15:00",0.76432,0.76432,0.75896,0.76214
"20030410 16:00",0.76161,0.76371,0.75944,0.7621
"20030411 12:00",0.76342,0.76713,0.76182,0.76658
"20030411 13:00",0.76711,0.76711,0.76387,0.76387
"20030411 14:00",0.7644,0.76547,0.7617,0.76277
"20030411 15:00",0.7617,0.77232,0.7617,0.76965
"20030411 16:00",0.77018,0.7755,0.77018,0.7728
"20030414 12:00",0.7646,0.76671,0.76298,0.76298
"20030414 13:00",0.7635,0.76506,0.76297,0.76399
"20030414 14:00",0.76452,0.76663,0.76452,0.76555
"20030414 15:00",0.76607,0.76976,0.76607,0.76762
"20030414 16:00",0.76868,0.76917,0.76758,0.76864
"20030415 12:00",0.77895,0.78001,0.77574,0.77679
"20030415 13:00",0.77626,0.77835,0.77519,0.77781
"20030415 14:00",0.77675,0.78201,0.77567,0.782
"20030415 15:00",0.78147,0.78305,0.77719,0.77825
"20030415 16:00",0.77878,0.78088,0.77768,0.77768
"20030416 12:00",0.78002,0.78108,0.77788,0.77998
"20030416 13:00",0.77945,0.77998,0.77785,0.77889
"20030416 14:00",0.77941,0.78045,0.77461,0.77672
"20030416 15:00",0.77619,0.7804,0.77457,0.77668
"20030416 16:00",0.77562,0.78511,0.77509,0.77717
"20030417 12:00",0.77686,0.77686,0.76732,0.76943
"20030417 13:00",0.7689,0.77099,0.76835,0.76992
"20030417 14:00",0.77044,0.77149,0.76935,0.77093
"20030417 15:00",0.77198,0.77776,0.77145,0.77564
"20030417 16:00",0.77617,0.77984,0.77617,0.7793
"20030421 12:00",0.77271,0.77271,0.76271,0.76479
"20030421 13:00",0.76531,0.76635,0.76478,0.76634
"20030421 14:00",0.7658,0.7658,0.7642,0.76472
"20030421 15:00",0.76576,0.76783,0.7647,0.7673
"20030421 16:00",0.76782,0.76782,0.76567,0.7662
"20030422 12:00",0.75803,0.76013,0.75276,0.75485
"20030422 13:00",0.75537,0.75589,0.75378,0.75586
"20030422 14:00",0.75533,0.75739,0.75426,0.75687
"20030422 15:00",0.75738,0.75791,0.75472,0.7563
"20030422 16:00",0.75682,0.75786,0.75469,0.75678
"20030423 12:00",0.75282,0.75282,0.74862,0.75174
"20030423 13:00",0.75226,0.7538,0.75067,0.75275
"20030423 14:00",0.75327,0.75586,0.75167,0.75585
"20030423 15:00",0.75637,0.75843,0.75372,0.7579
"20030423 16:00",0.75895,0.76051,0.75738,0.75839
"20030424 12:00",0.7235,0.72451,0.71995,0.72451
"20030424 13:00",0.72552,0.72603,0.72349,0.72501
"20030424 14:00",0.72552,0.72704,0.72349,0.7245
"20030424 15:00",0.72399,0.72855,0.72348,0.72551
"20030424 16:00",0.72602,0.72956,0.72551,0.72905
"20030425 12:00",0.72745,0.731,0.72441,0.72644
"20030425 13:00",0.72593,0.72795,0.72441,0.72542
"20030425 14:00",0.72643,0.72744,0.72491,0.72694
"20030425 15:00",0.72643,0.72744,0.72339,0.72642
"20030425 16:00",0.72744,0.72845,0.7249,0.72845
"20030428 12:00",0.7307,0.73475,0.72867,0.73323
"20030428 13:00",0.73373,0.73475,0.73069,0.73272
"20030428 14:00",0.73322,0.73474,0.73272,0.73474
"20030428 15:00",0.73524,0.73626,0.72815,0.72815
"20030428 16:00",0.72866,0.73018,0.72714,0.72865
"20030429 12:00",0.73212,0.73364,0.73009,0.73313
"20030429 13:00",0.73262,0.73313,0.7311,0.73312
"20030429 14:00",0.73363,0.73616,0.73211,0.73261
"20030429 15:00",0.73312,0.73717,0.73211,0.73666
"20030429 16:00",0.73615,0.7402,0.73615,0.73817
"20030430 12:00",0.7391,0.74113,0.73708,0.73708
"20030430 13:00",0.73758,0.7391,0.73657,0.73859
"20030430 14:00",0.73808,0.73859,0.73505,0.73859
"20030430 15:00",0.73909,0.74061,0.73757,0.73858
"20030430 16:00",0.73808,0.74111,0.73757,0.7401
"20030501 12:00",0.7385,0.74406,0.73647,0.74254
"20030501 13:00",0.74305,0.74709,0.74204,0.74507
"20030501 14:00",0.74406,0.74456,0.74152,0.74405
"20030501 15:00",0.74355,0.74608,0.73899,0.73949
"20030501 16:00",0.73899,0.74101,0.73494,0.73898
"20030502 12:00",0.72929,0.73181,0.72675,0.72726
"20030502 13:00",0.72776,0.72928,0.72574,0.72877
"20030502 14:00",0.72827,0.73181,0.72827,0.73029
"20030502 15:00",0.73079,0.7318,0.72624,0.72725
"20030502 16:00",0.72674,0.72927,0.72674,0.72724
"20030505 12:00",0.72544,0.72595,0.72342,0.72443
"20030505 13:00",0.72493,0.72746,0.72392,0.72544
"20030505 14:00",0.72645,0.72847,0.72594,0.72695
"20030505 15:00",0.72796,0.72897,0.72594,0.72897
"20030505 16:00",0.72846,0.72846,0.72593,0.72644
"20030506 12:00",0.72939,0.73293,0.72939,0.73091
"20030506 13:00",0.73141,0.73343,0.72989,0.73191
"20030506 14:00",0.73141,0.73343,0.7309,0.73191
