Symbol,URL
audusd,https://www.quantconnect.com/processDataDownload/1905204-91c6f27c0e29f04670b9d38196dbfa5d/audusd.zip
eurgbp,https://www.quantconnect.com/processDataDownload/1905206-a6c7365b456f7427b3c72a307c63bc71/eurgbp.zip
eurjpy,https://www.quantconnect.com/processDataDownload/1905208-94a756d19bd34c5eed756e72c8112c5d/eurjpy.zip
eurusd,https://www.quantconnect.com/processDataDownload/1905154-ee3dd3560d1b9013de2780cca3817799/eurusd.zip
gbpusd,https://www.quantconnect.com/processDataDownload/1905156-3dc1c175a1c3f418ba332258820d36dc/gbpusd.zip
nzdusd,https://www.quantconnect.com/processDataDownload/1905158-b5854bb9b6ab3ec06a920bb432e78623/nzdusd.zip
usdcad,https://www.quantconnect.com/processDataDownload/1905160-e512f4f6d6b5003cfe17b585e79a7d04/usdcad.zip
usdchf,https://www.quantconnect.com/processDataDownload/1905162-5268bfbc56de45221f7cfe7213e906ba/usdchf.zip
usdjpy,https://www.quantconnect.com/processDataDownload/1905164-1ccab513d0c459335a48973ed04c1c20/usdjpy.zip
cornusd,https://www.quantconnect.com/processDataDownload/1905166-f07415ae5ff7e0bb28b7cf5f03adbe3f/cornusd.zip
nas100usd,https://www.quantconnect.com/processDataDownload/1905168-3c33a87e7aa897d3c8c9181221c3eb3e/nas100usd.zip
natgasusd,https://www.quantconnect.com/processDataDownload/1905170-5c5771fe56b384b18ac0221dfd751b3a/natgasusd.zip
soybnusd,https://www.quantconnect.com/processDataDownload/1905172-95e7de4de039a98e1a2780de6c65115c/soybnusd.zip
spx500usd,https://www.quantconnect.com/processDataDownload/1905174-38ffc07c40ecc8d84056d7ba37b07d27/spx500usd.zip
sugarusd,https://www.quantconnect.com/processDataDownload/1905176-910d8793bb0aad9c1e0b1598a5751e40/sugarusd.zip
us200usd,https://www.quantconnect.com/processDataDownload/1905178-42ae878dadb0170e73ef7de49e9289c6/us200usd.zip
us30usd,https://www.quantconnect.com/processDataDownload/1905180-69c2da1e9e820dee2c0a935847afc740/us30usd.zip
usb02yusd,https://www.quantconnect.com/processDataDownload/1905182-9ce11898c52ba791341511cdf3d7a48b/usb02yusd.zip
usb05yusd,https://www.quantconnect.com/processDataDownload/1905184-ea113c45ec916824526355dc3e82a845/usb05yusd.zip
usb10yusd,https://www.quantconnect.com/processDataDownload/1905186-2b7edbdb6d0b50684273f0e2acc2face/usb10yusd.zip
usb30yusd,https://www.quantconnect.com/processDataDownload/1905188-b28dcfe95dd05a9996de2f51ef6b7fea/usb30yusd.zip
wheatusd,https://www.quantconnect.com/processDataDownload/1905190-eff909a33922164491da614c9e92f450/wheatusd.zip
wticousd,https://www.quantconnect.com/processDataDownload/1905192-3aa7e7270452018045548629979b1e27/wticousd.zip
xagusd,https://www.quantconnect.com/processDataDownload/1905194-89bf701ae74e78ff75294b25fb972e91/xagusd.zip
xauusd,https://www.quantconnect.com/processDataDownload/1905196-3ef472f11f0751aef261c1c9aeba0bac/xauusd.zip
xcuusd,https://www.quantconnect.com/processDataDownload/1905198-039c50ee416ed6e6f9d235d458f8f462/xcuusd.zip
xpdusd,https://www.quantconnect.com/processDataDownload/1905200-ccfdf72adf0a48ba28bf1a9123689d62/xpdusd.zip
xptusd,https://www.quantconnect.com/processDataDownload/1905202-a42fcf1eb74d821dbc5dc87f1afb291f/xptusd.zip
