Symbol,URL
audusd,https://www.quantconnect.com/processDataDownload/1905203-5524a2d2ec395576898da784a7ffa459/audusd.zip
eurgbp,https://www.quantconnect.com/processDataDownload/1905205-e17f7980f8afae124cb4cbf95093a0bc/eurgbp.zip
eurjpy,https://www.quantconnect.com/processDataDownload/1905207-bac31fb437a28f538d783d966d627ec0/eurjpy.zip
eurusd,https://www.quantconnect.com/processDataDownload/1905153-f302040ede7f785943d7960e1fc7436e/eurusd.zip
gbpusd,https://www.quantconnect.com/processDataDownload/1905155-14c66592aadc8986c6f9b9f77289220a/gbpusd.zip
nzdusd,https://www.quantconnect.com/processDataDownload/1905157-fc9a162c30ff744f76b57fb99c30758a/nzdusd.zip
usdcad,https://www.quantconnect.com/processDataDownload/1905159-c4b51bf26a18d2406aed3e20830201ca/usdcad.zip
usdchf,https://www.quantconnect.com/processDataDownload/1905161-b0f378d960eec3daa7ec2871eda39708/usdchf.zip
usdjpy,https://www.quantconnect.com/processDataDownload/1905163-9d35fe12892c526c75fcab18960163ef/usdjpy.zip
cornusd,https://www.quantconnect.com/processDataDownload/1905165-f64b6b65e6c282821c7f68e024756291/cornusd.zip
nas100usd,https://www.quantconnect.com/processDataDownload/1905167-907506dfd2d99033fd564f570d1d6dd7/nas100usd.zip
natgasusd,https://www.quantconnect.com/processDataDownload/1905169-c012497ab9cde763131d514190240862/natgasusd.zip
soybnusd,https://www.quantconnect.com/processDataDownload/1905171-e2bf220247b457988a2c1f44847ad4f8/soybnusd.zip
spx500usd,https://www.quantconnect.com/processDataDownload/1905173-e681be586e4a02bdce2931a8d8c438e0/spx500usd.zip
sugarusd,https://www.quantconnect.com/processDataDownload/1905175-e010d06bf7d7c527a4b88f2fa845d8a3/sugarusd.zip
us200usd,https://www.quantconnect.com/processDataDownload/1905177-dc044654769fb0204daff3e54143b203/us200usd.zip
us30usd,https://www.quantconnect.com/processDataDownload/1905179-6fed8468d0874236dcf4f6d8e252a9d7/us30usd.zip
usb02yusd,https://www.quantconnect.com/processDataDownload/1905181-08e60f592a893931f20fdb253819dd98/usb02yusd.zip
usb05yusd,https://www.quantconnect.com/processDataDownload/1905183-4b46d0b3960ee19072c446e62016ab88/usb05yusd.zip
usb10yusd,https://www.quantconnect.com/processDataDownload/1905185-b9cf0b0c9beb4e73aecdfa092d1a0292/usb10yusd.zip
usb30yusd,https://www.quantconnect.com/processDataDownload/1905187-dd431791c39c074ce6d632456098c99f/usb30yusd.zip
wheatusd,https://www.quantconnect.com/processDataDownload/1905189-fde1354a4a357b26ad92e345be5ceaaa/wheatusd.zip
wticousd,https://www.quantconnect.com/processDataDownload/1905191-7004ae654e530b6d5f8659879cae32c2/wticousd.zip
xagusd,https://www.quantconnect.com/processDataDownload/1905193-0c3c7f66baf616ef914dcec1752d76da/xagusd.zip
xauusd,https://www.quantconnect.com/processDataDownload/1905195-98e1cecf1eedf0f866371ac22e1853e5/xauusd.zip
xcuusd,https://www.quantconnect.com/processDataDownload/1905197-454076225c51daaa0c3bafe6d2f3ba7b/xcuusd.zip
xpdusd,https://www.quantconnect.com/processDataDownload/1905199-2dfec1a6ba8e78c62bc95623a93d887c/xpdusd.zip
xptusd,https://www.quantconnect.com/processDataDownload/1905201-ecb7dd631b08b17373c4f7176f8777cd/xptusd.zip
